epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.315,1.66661,3.73309,2.79176,1.52731,0.69768,0.24453,0.41921,0.20261,0.3913,0.1457,0.18066,0.06528,1.2102,3.69703,2.44786,1.12396,0.00028,0.00028,0.00028
2,297.976,1.45263,3.06902,1.69816,1.3034,0.08793,0.82781,0.38672,0.19907,0.0863,0.68874,0.29164,0.11954,1.23923,3.85176,2.38044,1.2017,0.000578086,0.000578086,0.000578086
3,429.35,1.53454,3.27848,1.68076,1.4388,0.3495,0.23179,0.27587,0.15502,0.2143,0.1457,0.12342,0.04448,1.30849,4.34196,2.26973,1.28775,0.000874192,0.000874192,0.000874192
4,542.552,1.55975,3.29393,1.56709,1.41943,0.32916,0.30219,0.29415,0.16171,0.24648,0.24503,0.2075,0.07276,1.30876,3.78176,2.0516,1.35333,0.00116832,0.00116832,0.00116832
5,675.457,1.5005,3.1808,1.50977,1.40351,0.24776,0.42605,0.24657,0.13811,0.13112,0.32671,0.08458,0.02828,1.3393,5.28303,2.23637,1.39064,0.00146046,0.00146046,0.00146046
6,789.669,1.51947,3.29029,1.54321,1.42729,0.27109,0.50331,0.27622,0.12896,0.19525,0.37748,0.15219,0.05746,1.5773,4.86317,2.4356,1.60961,0.00175063,0.00175063,0.00175063
7,900.801,1.50793,3.29144,1.54538,1.42632,0.51202,0.55821,0.43007,0.21732,0.4047,0.44121,0.27481,0.10435,1.50375,5.23153,2.11993,1.62585,0.0019604,0.0019604,0.0019604
8,1023.27,1.55392,3.27835,1.4721,1.41382,0.54401,0.46137,0.47313,0.24338,0.49299,0.37748,0.35865,0.12888,1.462,4.57958,2.19468,1.43665,0.0019538,0.0019538,0.0019538
9,1139.06,1.54975,3.2568,1.53201,1.44232,0.33431,0.59823,0.39724,0.20639,0.2633,0.46358,0.25909,0.09315,1.34672,4.75789,2.36077,1.35522,0.0019472,0.0019472,0.0019472
10,1258.14,1.56634,3.24387,1.49323,1.44703,0.58364,0.6684,0.65219,0.37764,0.44318,0.51876,0.41144,0.16863,1.33962,4.68777,2.66828,1.4115,0.0019406,0.0019406,0.0019406
11,1378.4,1.50659,3.07451,1.40023,1.37124,0.67274,0.62693,0.68078,0.39871,0.64947,0.60265,0.62952,0.29154,1.28264,3.2127,2.60434,1.4457,0.001934,0.001934,0.001934
12,1495.68,1.50026,3.0553,1.42557,1.42965,0.71433,0.6755,0.73386,0.44758,0.68451,0.6468,0.66867,0.30191,1.21386,3.23564,1.5774,1.32431,0.0019274,0.0019274,0.0019274
13,1613.08,1.50728,3.10555,1.41347,1.41763,0.61698,0.66004,0.6423,0.36222,0.59418,0.59148,0.57744,0.25501,1.26142,3.19769,1.82152,1.362,0.0019208,0.0019208,0.0019208
14,1733,1.43931,2.96203,1.33776,1.40624,0.69373,0.63135,0.70002,0.40068,0.65785,0.54746,0.6078,0.27816,1.30998,3.78224,1.47443,1.41285,0.0019142,0.0019142,0.0019142
