epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2376,2.5725,2.29918,2.98725,0.08721,0.0287,0.00537,0.00325,2.47333,0.41787,10.1585,0.0002,0.0002,0.0002
2,19.7471,1.8813,0.33315,2.52963,0.45711,0.54305,0.50248,0.34964,0.56323,1.68586,0.50379,0.000419168,0.000419168,0.000419168
3,25.1483,0.60208,0.71317,0.27148,0.57582,0.56337,0.52966,0.33266,0.43327,0.89083,0.39735,0.000637466,0.000637466,0.000637466
4,30.0053,0.50396,0.54775,0.23012,0.56676,0.54868,0.54437,0.34592,0.41192,0.80201,0.35781,0.000854892,0.000854892,0.000854892
5,35.0868,0.47627,0.58392,0.21088,0.74643,0.63034,0.71048,0.47978,0.39196,0.65349,0.31428,0.00107145,0.00107145,0.00107145
6,40.4326,0.46424,0.53185,0.19709,0.74232,0.72496,0.78263,0.52936,0.34271,0.52239,0.25817,0.00128713,0.00128713,0.00128713
7,45.7253,0.40199,0.51634,0.17316,0.711,0.63797,0.69586,0.44671,0.4313,0.54199,0.35365,0.00150194,0.00150194,0.00150194
8,50.7364,0.45228,0.55139,0.21667,0.66014,0.68177,0.70636,0.41137,0.41456,0.75665,0.35474,0.00171588,0.00171588,0.00171588
9,55.4951,0.43006,0.63943,0.17942,0.7012,0.66004,0.69607,0.42266,0.46505,0.92321,0.41374,0.00192895,0.00192895,0.00192895
10,60.2423,0.40282,0.67295,0.17071,0.61881,0.60921,0.60561,0.36235,0.38828,0.66632,0.26129,0.00196436,0.00196436,0.00196436
11,65.0458,0.43081,0.62347,0.17364,0.6174,0.57395,0.60158,0.38422,0.36917,0.7129,0.25122,0.0019604,0.0019604,0.0019604
12,70.0686,0.39511,0.54433,0.15799,0.72392,0.66225,0.67262,0.43402,0.41851,0.53403,0.29611,0.00195644,0.00195644,0.00195644
13,74.8345,0.38567,0.53658,0.17766,0.72969,0.65121,0.69788,0.47317,0.37071,0.52342,0.26469,0.00195248,0.00195248,0.00195248
14,79.6439,0.43338,0.52545,0.18772,0.7295,0.69316,0.72702,0.46488,0.37495,0.60405,0.24303,0.00194852,0.00194852,0.00194852
15,84.4432,0.44695,0.53722,0.17871,0.75236,0.62472,0.68805,0.44654,0.39259,0.61884,0.26625,0.00194456,0.00194456,0.00194456
16,89.4176,0.41223,0.51524,0.16703,0.74622,0.66667,0.72161,0.49748,0.37294,0.60822,0.23281,0.0019406,0.0019406,0.0019406
17,94.156,0.39973,0.54116,0.17599,0.70504,0.66004,0.68923,0.46578,0.38011,0.63526,0.25374,0.00193664,0.00193664,0.00193664
18,98.9643,0.40387,0.53799,0.18165,0.73206,0.69536,0.72746,0.51242,0.36546,0.50261,0.24238,0.00193268,0.00193268,0.00193268
19,103.751,0.41567,0.57526,0.17223,0.73415,0.72544,0.74328,0.50072,0.37769,0.63087,0.26317,0.00192872,0.00192872,0.00192872
20,108.749,0.40004,0.61731,0.16517,0.74727,0.70861,0.71635,0.48098,0.34675,0.64419,0.23412,0.00192476,0.00192476,0.00192476
21,113.468,0.41714,0.58593,0.19709,0.71547,0.75938,0.76199,0.47697,0.41129,0.61795,0.3101,0.0019208,0.0019208,0.0019208
22,118.517,0.38761,0.53882,0.16022,0.71743,0.5585,0.59534,0.40144,nan,nan,nan,0.00191684,0.00191684,0.00191684
23,123.274,0.40931,0.55694,0.17437,0.62633,0.44772,0.44564,0.29997,nan,nan,nan,0.00191288,0.00191288,0.00191288
24,128.235,0.42169,0.51595,0.168,0.51302,0.34437,0.33317,0.20504,nan,nan,nan,0.00190892,0.00190892,0.00190892
25,132.976,0.39146,0.56948,0.16451,0.67622,0.39956,0.42968,0.29354,nan,nan,nan,0.00190496,0.00190496,0.00190496
26,137.827,0.36273,0.56283,0.15526,0.74463,0.64459,0.68419,0.47214,0.40561,nan,0.28621,0.001901,0.001901,0.001901
27,142.649,0.38088,0.52405,0.1489,0.73503,0.7064,0.72816,0.49853,0.35193,0.50597,0.26003,0.00189704,0.00189704,0.00189704
28,147.634,0.38054,0.50225,0.16952,0.77577,0.71965,0.74491,0.51929,0.35107,0.49449,0.24113,0.00189308,0.00189308,0.00189308
29,152.405,0.36954,0.46802,0.15351,0.78651,0.67499,0.73849,0.51407,0.36606,0.49838,0.25726,0.00188912,0.00188912,0.00188912
30,157.187,0.36163,0.47567,0.15437,0.83078,0.73696,0.80577,0.54561,0.34447,0.48819,0.25191,0.00188516,0.00188516,0.00188516
31,162.503,0.35346,0.47508,0.1434,0.83865,0.75055,0.83642,0.55983,0.34732,0.49865,0.26048,0.0018812,0.0018812,0.0018812
32,168.005,0.35697,0.46689,0.14802,0.74119,0.76495,0.79417,0.5496,0.3347,0.47049,0.25527,0.00187724,0.00187724,0.00187724
33,172.73,0.35717,0.46715,0.15262,0.7727,0.72406,0.78758,0.5364,0.34179,0.50503,0.24412,0.00187328,0.00187328,0.00187328
34,177.521,0.35724,0.50408,0.15467,0.80087,0.69316,0.76295,0.52249,0.32795,0.53436,0.21069,0.00186932,0.00186932,0.00186932
35,182.304,0.33932,0.49313,0.14431,0.8316,0.74393,0.8272,0.57326,0.34008,0.49473,0.25148,0.00186536,0.00186536,0.00186536
36,187.786,0.39961,0.46563,0.17157,0.79322,0.65204,0.72615,0.50951,0.37669,0.50875,0.28796,0.0018614,0.0018614,0.0018614
37,192.556,0.349,0.46762,0.15929,0.7355,0.69095,0.7428,0.50975,0.38254,0.62234,0.32912,0.00185744,0.00185744,0.00185744
38,197.389,0.3936,0.51437,0.15929,0.64374,0.63576,0.63673,0.42675,0.44215,0.60644,0.35742,0.00185348,0.00185348,0.00185348
39,202.168,0.32552,0.47017,0.14837,0.80062,0.62693,0.71838,0.49499,0.37943,0.51073,0.28436,0.00184952,0.00184952,0.00184952
40,207.178,0.35829,0.46602,0.17074,0.74023,0.64459,0.70216,0.47685,0.39455,0.5401,0.31234,0.00184556,0.00184556,0.00184556
41,211.967,0.32463,0.46912,0.12839,0.80188,0.68799,0.76425,0.53889,0.30321,0.52561,0.21413,0.0018416,0.0018416,0.0018416
42,217.073,0.36501,0.43349,0.15143,0.85879,0.68874,0.79247,0.55778,0.35148,0.51578,0.25235,0.00183764,0.00183764,0.00183764
43,222.08,0.36185,0.48253,0.14919,0.77061,0.7416,0.79256,0.56127,0.34693,0.50478,0.23832,0.00183368,0.00183368,0.00183368
44,226.87,0.35027,0.46535,0.14637,0.81187,0.70494,0.8,0.55753,0.30669,0.4882,0.20022,0.00182972,0.00182972,0.00182972
45,231.623,0.36053,0.46007,0.14651,0.73619,0.62031,0.69193,0.46632,0.39512,0.51937,0.33762,0.00182576,0.00182576,0.00182576
46,236.452,0.36807,0.48065,0.14876,0.7161,0.63576,0.7066,0.48485,0.33716,0.6256,0.22791,0.0018218,0.0018218,0.0018218
47,241.415,0.33684,0.48952,0.14661,0.72606,0.72627,0.75322,0.50512,0.38564,0.52943,0.292,0.00181784,0.00181784,0.00181784
48,246.205,0.35038,0.47524,0.15418,0.71089,0.68394,0.73911,0.5017,0.35137,0.58491,0.25936,0.00181388,0.00181388,0.00181388
49,250.974,0.3568,0.49877,0.15364,0.7929,0.70994,0.78188,0.54803,0.37377,0.53099,0.27478,0.00180992,0.00180992,0.00180992
50,255.767,0.35576,0.45613,0.15751,0.80166,0.7495,0.8141,0.55876,0.35138,0.49104,0.23788,0.00180596,0.00180596,0.00180596
51,260.748,0.33571,0.46045,0.14327,0.57427,0.28477,0.28708,0.19762,nan,nan,nan,0.001802,0.001802,0.001802
52,265.545,0.37363,0.45991,0.14907,0.54311,0.22517,0.20801,0.13844,nan,nan,nan,0.00179804,0.00179804,0.00179804
53,270.287,0.34121,0.47918,0.16392,0.61801,0.24945,0.23245,0.16746,nan,nan,nan,0.00179408,0.00179408,0.00179408
54,275.088,0.3224,0.5114,0.13374,0.6009,0.29139,0.30416,0.20679,nan,nan,nan,0.00179012,0.00179012,0.00179012
55,280.074,0.36284,0.50381,0.15279,0.70913,0.60927,0.67619,0.45172,0.42757,0.62724,0.31762,0.00178616,0.00178616,0.00178616
56,284.839,0.36974,0.57329,0.14918,0.65623,0.62472,0.67413,0.45104,0.44249,0.63426,0.36891,0.0017822,0.0017822,0.0017822
57,289.567,0.36811,0.52836,0.1544,0.70442,0.69978,0.73227,0.48309,0.41326,0.66895,0.29652,0.00177824,0.00177824,0.00177824
58,294.352,0.34883,0.55289,0.14296,0.75668,0.65219,0.73392,0.49147,0.35263,0.65861,0.25418,0.00177428,0.00177428,0.00177428
59,299.337,0.40896,0.53365,0.16994,0.73519,0.65784,0.71737,0.49804,0.38835,0.55528,0.2661,0.00177032,0.00177032,0.00177032
60,304.099,0.36039,0.51476,0.15064,0.7323,0.63797,0.71108,0.47734,0.45076,nan,0.33875,0.00176636,0.00176636,0.00176636
61,308.876,0.37651,0.47813,0.1777,0.75832,0.69757,0.73806,0.50394,0.4789,nan,0.39646,0.0017624,0.0017624,0.0017624
62,314.151,0.38271,0.49942,0.16892,0.74903,0.7064,0.76284,0.53099,0.41116,nan,0.30901,0.00175844,0.00175844,0.00175844
63,318.907,0.33671,0.46853,0.15352,0.80521,0.74825,0.79697,0.57343,0.35763,0.49987,0.25365,0.00175448,0.00175448,0.00175448
64,324.131,0.36085,0.50234,0.1679,0.79637,0.73381,0.79622,0.56099,0.34239,0.5548,0.23386,0.00175052,0.00175052,0.00175052
65,328.854,0.34804,0.47099,0.13412,0.79216,0.74041,0.81944,0.57676,0.31473,0.48996,0.22429,0.00174656,0.00174656,0.00174656
66,334.326,0.39026,0.45983,0.15796,0.76433,0.75717,0.8108,0.59203,0.33246,0.51773,0.24113,0.0017426,0.0017426,0.0017426
67,339.632,0.33855,0.46199,0.14188,0.77006,0.67991,0.7808,0.56073,0.3032,0.50759,0.20076,0.00173864,0.00173864,0.00173864
68,344.472,0.35212,0.45631,0.13863,0.76505,0.75055,0.81485,0.57259,0.31752,nan,0.21267,0.00173468,0.00173468,0.00173468
69,349.203,0.33257,0.43,0.12451,0.78715,0.72406,0.80613,0.56323,0.30167,nan,0.20129,0.00173072,0.00173072,0.00173072
70,354.174,0.36119,0.44348,0.12894,0.80378,0.76864,0.80779,0.58653,0.29274,nan,0.19813,0.00172676,0.00172676,0.00172676
71,358.964,0.30184,0.4358,0.11984,0.84411,0.71718,0.81536,0.59683,0.33282,0.48644,0.25579,0.0017228,0.0017228,0.0017228
72,364.267,0.30776,0.44016,0.12601,0.82423,0.7638,0.81366,0.59836,0.30067,0.44111,0.21751,0.00171884,0.00171884,0.00171884
73,369.546,0.33821,0.4418,0.15906,0.79374,0.78155,0.82792,0.61003,0.30983,0.44086,0.22624,0.00171488,0.00171488,0.00171488
74,375.029,0.33544,0.44694,0.14465,0.84715,0.7064,0.81189,0.58645,0.32819,0.51713,0.2386,0.00171092,0.00171092,0.00171092
75,379.812,0.31879,0.40812,0.13477,0.809,0.79029,0.83985,0.60537,0.3053,0.45867,0.21339,0.00170696,0.00170696,0.00170696
