epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1186,2.16968,4.51538,2.26418,0.11354,0.05298,0.01552,0.00968,2.41413,0.57172,5.99792,0.0002,0.0002,0.0002
2,20.6604,2.05935,0.51039,2.88398,0.35571,0.39514,0.27195,0.17573,0.91338,0.56409,1.33981,0.00037842,0.00037842,0.00037842
3,26.0529,0.91575,0.56707,0.67572,0.57817,0.42384,0.4465,0.2893,0.59584,0.81739,0.43541,0.00051328,0.00051328,0.00051328
4,31.7872,0.40074,0.63428,0.22822,0.69049,0.52759,0.52249,0.33156,0.54463,0.47225,0.44774,0.00060458,0.00060458,0.00060458
5,37.2261,0.46456,0.50505,0.23274,0.72716,0.71302,0.72065,0.50108,0.35823,0.44709,0.2515,0.00065232,0.00065232,0.00065232
6,42.68,0.40256,0.52099,0.25609,0.69478,0.63797,0.64584,0.42212,0.41234,0.44437,0.30228,0.0006565,0.0006565,0.0006565
7,47.4912,0.3788,0.53173,0.20899,0.69017,0.68212,0.70111,0.49138,0.32749,0.47272,0.21966,0.00061712,0.00061712,0.00061712
8,52.5659,0.38788,0.54006,0.20318,0.76527,0.75276,0.80146,0.56433,0.29433,0.45408,0.22929,0.00053418,0.00053418,0.00053418
9,57.873,0.3405,0.66875,0.21424,0.78521,0.75717,0.79769,0.56487,0.27835,0.50724,0.18502,0.00040768,0.00040768,0.00040768
10,63.1822,0.31795,0.54063,0.15669,0.7427,0.73731,0.77005,0.57357,0.2825,0.45325,0.18312,0.000218,0.000218,0.000218
