epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4134,2.30774,4.50562,3.07431,0.4002,0.48344,0.32087,0.22707,0.85373,0.64622,0.83946,0.00032,0.00032,0.00032
2,17.5926,1.149,0.5755,1.04147,0.64508,0.59382,0.60731,0.40176,0.43791,0.78725,0.40801,0.000658693,0.000658693,0.000658693
3,24.9383,0.5668,0.64729,0.27761,0.63153,0.43488,0.44997,0.26245,0.62647,0.99458,0.46402,0.00099604,0.00099604,0.00099604
4,31.7009,0.57502,1.04412,0.27042,0.58897,0.42605,0.41681,0.25192,1.10972,0.45145,0.87994,0.00133204,0.00133204,0.00133204
5,38.3263,0.57933,0.69872,0.26414,0.65633,0.54806,0.5619,0.33376,0.5727,0.54701,0.44756,0.00166669,0.00166669,0.00166669
6,44.8892,0.5612,0.66671,0.25487,0.61881,0.51961,0.53397,0.31385,0.53315,0.76708,0.38368,0.0019802,0.0019802,0.0019802
7,51.4882,0.57078,0.71326,0.279,0.5677,0.5102,0.46773,0.2709,0.50836,0.76944,0.36326,0.00197624,0.00197624,0.00197624
8,58.3154,0.5535,0.6437,0.23028,0.56512,0.40735,0.39057,0.22821,0.52954,0.90747,0.38742,0.00197228,0.00197228,0.00197228
9,64.9411,0.56365,0.69096,0.26432,0.31481,0.32963,0.26812,0.14647,0.57595,nan,0.44668,0.00196832,0.00196832,0.00196832
10,71.5361,0.54437,0.61261,0.26095,0.57546,0.38852,0.39482,0.22658,0.47037,nan,0.35267,0.00196436,0.00196436,0.00196436
11,78.0479,0.57574,0.71012,0.27744,0.59159,0.48924,0.47628,0.3076,0.45084,0.75794,0.30578,0.0019604,0.0019604,0.0019604
12,84.848,0.50931,0.64939,0.26056,0.73975,0.65342,0.64483,0.40911,0.45477,0.62718,0.32412,0.00195644,0.00195644,0.00195644
13,91.8858,0.52846,0.65291,0.25517,0.6814,0.60927,0.65725,0.44374,0.37611,0.6499,0.25212,0.00195248,0.00195248,0.00195248
14,98.9619,0.5135,0.83539,0.26324,0.68086,0.54746,0.62199,0.41086,0.39308,0.66665,0.28745,0.00194852,0.00194852,0.00194852
15,105.744,0.51259,0.67367,0.23462,0.64802,0.5298,0.538,0.33451,0.47922,0.66629,0.34209,0.00194456,0.00194456,0.00194456
16,112.288,0.55806,0.64301,0.26027,0.62923,0.48786,0.50299,0.32957,nan,nan,nan,0.0019406,0.0019406,0.0019406
