epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5751,2.1001,10.2535,3.29089,0.38953,0.36424,0.23702,0.15716,1.71532,0.34536,1.91548,0.00032,0.00032,0.00032
2,18.7584,1.16165,1.05925,1.24805,0.48083,0.34437,0.35983,0.23872,0.5471,0.73557,0.43278,0.00059466,0.00059466,0.00059466
3,26.0887,0.3822,1.24253,0.24896,0.65463,0.49791,0.5654,0.37597,0.39956,0.7179,0.28164,0.000802,0.000802,0.000802
4,33.2563,0.39388,0.86734,0.24718,0.7227,0.56291,0.62311,0.41164,0.35714,0.72503,0.22792,0.00094202,0.00094202,0.00094202
5,40.6493,0.47279,0.63826,0.26759,0.70841,0.46137,0.52343,0.33171,0.52947,0.86826,0.39788,0.00101472,0.00101472,0.00101472
6,47.2332,0.48821,0.75045,0.34273,0.63788,0.39514,0.43007,0.27093,0.53075,1.3385,0.37561,0.00101,0.00101,0.00101
7,53.7731,0.44587,1.19225,0.27883,0.69629,0.64274,0.66842,0.40585,0.38297,0.73876,0.28237,0.000812,0.000812,0.000812
8,60.6165,0.43824,0.67763,0.23466,0.61132,0.62472,0.65389,0.44765,0.33131,0.72668,0.23215,0.000614,0.000614,0.000614
9,67.7135,0.44359,0.7278,0.237,0.71615,0.66834,0.71883,0.48636,0.35606,0.54895,0.23001,0.000416,0.000416,0.000416
10,74.863,0.34089,0.62266,0.23588,0.7443,0.62693,0.71764,0.50896,0.33318,0.5985,0.20773,0.000218,0.000218,0.000218
