epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81132,2.37373,1.25765,3.31463,0.42526,0.44812,0.31481,0.2144,1.29929,0.43984,1.71864,0.00028,0.00028,0.00028
2,16.5216,1.14673,0.45434,0.76825,0.77436,0.64394,0.69838,0.46835,0.35519,0.56541,0.25561,0.000578852,0.000578852,0.000578852
3,23.268,0.5527,0.55316,0.22098,0.71566,0.68653,0.7089,0.45008,0.36198,0.60014,0.24709,0.000876515,0.000876515,0.000876515
4,29.638,0.51508,0.5779,0.18654,0.65753,0.67108,0.63127,0.39618,0.44173,0.5822,0.38417,0.00117299,0.00117299,0.00117299
5,35.7834,0.54096,0.56587,0.21178,0.72272,0.65121,0.69946,0.44792,0.35106,0.69198,0.2043,0.00146828,0.00146828,0.00146828
6,41.8251,0.56463,0.61093,0.19672,0.63826,0.56291,0.60682,0.37375,0.45585,0.77073,0.36653,0.00176238,0.00176238,0.00176238
7,47.8517,0.53024,0.54766,0.18504,0.71008,0.70286,0.73541,0.45765,0.38047,0.61037,0.26709,0.00197624,0.00197624,0.00197624
8,54.1128,0.49597,0.57655,0.15585,0.69015,0.58278,0.63595,0.38997,0.41141,0.62242,0.26495,0.00197228,0.00197228,0.00197228
9,60.1384,0.50846,0.55879,0.16879,0.6515,0.68433,0.66403,0.42912,0.42765,0.5739,0.29963,0.00196832,0.00196832,0.00196832
10,66.2269,0.51398,0.52936,0.17429,0.70242,0.6755,0.68207,0.4094,0.42447,0.60995,0.29502,0.00196436,0.00196436,0.00196436
11,72.2522,0.4734,0.54585,0.16193,0.73902,0.68433,0.74439,0.48168,0.42562,0.55239,0.32041,0.0019604,0.0019604,0.0019604
12,79.0056,0.47896,0.57417,0.159,0.69318,0.7082,0.7029,0.44362,0.43413,0.70491,0.33624,0.00195644,0.00195644,0.00195644
13,84.9905,0.47695,0.58758,0.17277,0.76353,0.64864,0.74172,0.50651,0.35831,0.50224,0.24786,0.00195248,0.00195248,0.00195248
14,91.3931,0.45084,0.51695,0.16479,0.77162,0.70853,0.77032,0.5019,0.33468,0.57564,0.20912,0.00194852,0.00194852,0.00194852
15,97.6206,0.46178,0.52291,0.15248,0.75787,0.69788,0.74821,0.49548,0.3632,0.54239,0.23792,0.00194456,0.00194456,0.00194456
16,103.68,0.47019,0.53324,0.16019,0.74024,0.76117,0.79624,0.55393,0.32044,0.53463,0.23046,0.0019406,0.0019406,0.0019406
17,110.248,0.47098,0.5084,0.15369,0.83517,0.7064,0.81982,0.55894,0.32723,0.53856,0.22787,0.00193664,0.00193664,0.00193664
18,117.029,0.46421,0.51992,0.14877,0.75942,0.78044,0.81827,0.56374,0.32429,0.48675,0.23803,0.00193268,0.00193268,0.00193268
19,123.528,0.42991,0.50028,0.1435,0.73398,0.78366,0.80349,0.59141,0.3062,0.50169,0.21291,0.00192872,0.00192872,0.00192872
20,130.077,0.41521,0.47934,0.13294,0.8102,0.75938,0.83704,0.59099,0.31987,0.51007,0.21326,0.00192476,0.00192476,0.00192476
21,136.112,0.40825,0.47827,0.15517,0.81528,0.73731,0.82305,0.58299,0.30228,0.44999,0.1993,0.0019208,0.0019208,0.0019208
22,142.673,0.40588,0.46511,0.12778,0.80857,0.71744,0.81043,0.56282,0.32837,0.46877,0.24427,0.00191684,0.00191684,0.00191684
23,148.763,0.43307,0.47004,0.14057,0.77647,0.70861,0.7887,0.55345,0.31477,0.50852,0.21536,0.00191288,0.00191288,0.00191288
24,154.803,0.39117,0.48151,0.14482,0.75504,0.67363,0.75071,0.53489,0.32346,0.51298,0.22439,0.00190892,0.00190892,0.00190892
25,160.995,0.42021,0.47401,0.13906,0.74472,0.77483,0.78515,0.54097,0.34058,0.53483,0.26309,0.00190496,0.00190496,0.00190496
26,167.033,0.42919,0.48179,0.15711,0.84363,0.72185,0.82078,0.58021,0.3289,0.4998,0.2335,0.001901,0.001901,0.001901
