epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8998,2.39983,1.93438,2.91206,0.38152,0.4702,0.3009,0.18885,1.3975,0.48785,1.96384,0.00028,0.00028,0.00028
2,17.5656,1.10578,0.48649,0.7989,0.51613,0.44592,0.46229,0.29033,0.48147,0.84876,0.35032,0.00052258,0.00052258,0.00052258
3,24.3131,0.55241,0.5762,0.21881,0.51431,0.59823,0.49264,0.30898,0.47778,1.03284,0.40503,0.00070576,0.00070576,0.00070576
4,31.219,0.49155,0.56684,0.20184,0.64652,0.73731,0.71139,0.49009,0.3404,0.53361,0.23358,0.00082954,0.00082954,0.00082954
5,37.9322,0.45106,0.55722,0.20567,0.72417,0.6777,0.71882,0.45534,0.34529,0.68829,0.22107,0.00089392,0.00089392,0.00089392
6,44.0179,0.46699,0.5658,0.21981,0.66913,0.61589,0.65934,0.41416,0.42849,0.65063,0.33003,0.0008989,0.0008989,0.0008989
7,50.0942,0.42734,0.53886,0.18963,0.76807,0.75055,0.78602,0.52623,0.31951,0.53492,0.21282,0.000812,0.000812,0.000812
8,56.8225,0.40753,0.52024,0.18285,0.8041,0.68866,0.77656,0.52878,0.33739,0.50494,0.23343,0.000614,0.000614,0.000614
9,63.3236,0.42676,0.51498,0.17359,0.79041,0.69316,0.7751,0.52413,0.36701,0.46624,0.25913,0.000416,0.000416,0.000416
10,69.4004,0.39287,0.50888,0.15226,0.83988,0.74834,0.82415,0.58477,0.29159,0.48612,0.20372,0.000218,0.000218,0.000218
