epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,5.65088,0.26764,0.32871,0.09089,0.85973,0.81182,0.88283,0.66165,0.26734,0.3839,0.18702,0.00028,0.00028,0.00028
2,12.3532,0.2603,0.33229,0.07715,0.81342,0.79876,0.85377,0.64741,0.28073,0.45493,0.2011,0.000578852,0.000578852,0.000578852
3,18.6125,0.23921,0.30254,0.0757,0.8498,0.72441,0.82519,0.62958,0.29013,0.57072,0.2101,0.000876515,0.000876515,0.000876515
4,24.9565,0.27637,0.33443,0.08105,0.8695,0.71744,0.82534,0.60921,0.30461,0.54502,0.20226,0.00117299,0.00117299,0.00117299
5,31.0927,0.28717,0.34582,0.08134,0.87813,0.75938,0.84819,0.61764,0.28482,0.48071,0.19231,0.00146828,0.00146828,0.00146828
6,37.1684,0.30005,0.34869,0.08727,0.84819,0.78366,0.83936,0.62717,0.27872,0.45986,0.18468,0.00176238,0.00176238,0.00176238
7,43.236,0.28859,0.34643,0.07996,0.86487,0.76159,0.84128,0.62579,0.28625,0.4608,0.1994,0.00197624,0.00197624,0.00197624
8,49.5041,0.28053,0.34604,0.0755,0.82022,0.80353,0.84651,0.62684,0.29002,0.45192,0.21164,0.00197228,0.00197228,0.00197228
9,55.5163,0.2959,0.34062,0.08344,0.81153,0.76992,0.82841,0.60587,0.30574,0.43632,0.22293,0.00196832,0.00196832,0.00196832
10,61.6137,0.30427,0.36424,0.084,0.79619,0.81065,0.85954,0.63847,0.28195,0.45598,0.19269,0.00196436,0.00196436,0.00196436
11,67.8426,0.2688,0.33842,0.07883,0.84123,0.76821,0.84915,0.63416,0.28885,0.46944,0.21007,0.0019604,0.0019604,0.0019604
12,73.9097,0.28442,0.34007,0.08428,0.80023,0.74278,0.81924,0.60039,0.29671,0.47277,0.20655,0.00195644,0.00195644,0.00195644
13,79.9008,0.27808,0.33742,0.08448,0.84263,0.75055,0.82918,0.60715,0.31085,0.45304,0.21691,0.00195248,0.00195248,0.00195248
14,85.9239,0.28763,0.34754,0.08712,0.78408,0.77759,0.81438,0.5838,0.36451,0.40876,0.30053,0.00194852,0.00194852,0.00194852
15,92.1226,0.26847,0.3389,0.07989,0.76463,0.75938,0.79889,0.59423,0.35274,0.44295,0.27919,0.00194456,0.00194456,0.00194456
16,98.231,0.29925,0.34909,0.09136,0.81997,0.75055,0.82568,0.62183,0.33203,0.4034,0.25053,0.0019406,0.0019406,0.0019406
17,104.232,0.29295,0.35193,0.08468,0.7789,0.80098,0.84341,0.61917,0.30722,0.43719,0.24067,0.00193664,0.00193664,0.00193664
18,110.296,0.29171,0.35142,0.08468,0.85381,0.74614,0.84606,0.62565,0.2922,0.42865,0.21572,0.00193268,0.00193268,0.00193268
19,116.498,0.2808,0.33403,0.08229,0.82815,0.78587,0.85342,0.63886,0.2772,0.40676,0.19834,0.00192872,0.00192872,0.00192872
20,122.553,0.27022,0.33624,0.07418,0.85382,0.72203,0.82701,0.6061,0.32229,0.45328,0.24937,0.00192476,0.00192476,0.00192476
21,128.574,0.27035,0.34278,0.09202,0.84485,0.73329,0.83598,0.62611,0.31171,0.46428,0.25147,0.0019208,0.0019208,0.0019208
22,135.121,0.2752,0.34096,0.0786,0.82893,0.78085,0.85435,0.63933,0.29821,0.41627,0.24276,0.00191684,0.00191684,0.00191684
23,141.17,0.28577,0.3381,0.08155,0.81981,0.78587,0.84473,0.62754,0.30158,0.43667,0.25662,0.00191288,0.00191288,0.00191288
24,147.222,0.26895,0.34868,0.08905,0.81946,0.75276,0.84476,0.61744,0.29987,0.43736,0.24449,0.00190892,0.00190892,0.00190892
25,153.417,0.30222,0.35956,0.08974,0.8284,0.79029,0.85778,0.6063,0.32009,0.47012,0.23879,0.00190496,0.00190496,0.00190496
26,159.515,0.29995,0.36852,0.09841,0.78832,0.81678,0.84249,0.60046,0.33711,0.48927,0.24833,0.001901,0.001901,0.001901
27,165.582,0.30053,0.3511,0.08603,0.79883,0.75497,0.82304,0.61346,0.30228,0.49622,0.21756,0.00189704,0.00189704,0.00189704
28,171.642,0.28829,0.34937,0.08848,0.83109,0.73731,0.81782,0.5891,0.34008,0.46705,0.24737,0.00189308,0.00189308,0.00189308
29,177.847,0.26844,0.33583,0.08324,0.81581,0.76264,0.82398,0.60975,0.29708,0.42812,0.20689,0.00188912,0.00188912,0.00188912
30,183.881,0.28192,0.33397,0.08343,0.83763,0.72848,0.82711,0.61521,0.29846,0.49225,0.2017,0.00188516,0.00188516,0.00188516
31,189.928,0.28487,0.35103,0.08743,0.78887,0.80574,0.8428,0.61954,0.29639,0.45597,0.21773,0.0018812,0.0018812,0.0018812
32,196.193,0.28098,0.34947,0.09483,0.7635,0.74115,0.79408,0.59889,0.33984,0.42804,0.2399,0.00187724,0.00187724,0.00187724
33,202.222,0.27501,0.35123,0.08496,0.78737,0.703,0.76622,0.56833,0.35029,0.48525,0.235,0.00187328,0.00187328,0.00187328
34,208.288,0.29634,0.34951,0.09982,0.84397,0.74393,0.83038,0.60379,0.31744,0.40685,0.24257,0.00186932,0.00186932,0.00186932
35,214.333,0.30776,0.36074,0.09079,0.82124,0.80115,0.84754,0.61865,0.3031,0.43955,0.22941,0.00186536,0.00186536,0.00186536
36,220.562,0.27973,0.35708,0.0863,0.84104,0.78587,0.85742,0.62506,0.2935,0.4603,0.21397,0.0018614,0.0018614,0.0018614
37,226.552,0.28026,0.34673,0.08312,0.89328,0.73731,0.85205,0.61421,0.30938,0.40716,0.23244,0.00185744,0.00185744,0.00185744
38,232.646,0.2779,0.35124,0.08834,0.87296,0.74329,0.8536,0.63244,0.30114,0.40452,0.23217,0.00185348,0.00185348,0.00185348
39,238.883,0.28117,0.36056,0.07911,0.8559,0.77042,0.86222,0.6384,0.28523,0.43402,0.1999,0.00184952,0.00184952,0.00184952
