epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.215,1.65821,3.57442,2.80532,1.50724,0.72471,0.21413,0.41235,0.2086,0.38531,0.14529,0.17244,0.05892,1.16082,3.65544,2.48827,1.10577,0.00028,0.00028,0.00028
2,241.654,1.45101,2.96192,1.70539,1.3033,0.38746,0.52097,0.40091,0.22338,0.43666,0.38631,0.31944,0.128,1.24187,3.96114,2.35189,1.21079,0.000578086,0.000578086,0.000578086
3,355.803,1.48435,3.11793,1.67541,1.41104,0.52178,0.20232,0.32664,0.1905,0.46849,0.1766,0.25167,0.09752,1.226,3.9697,2.26504,1.2527,0.000874192,0.000874192,0.000874192
4,462.862,1.5761,3.15924,1.58766,1.41163,0.71925,0.32671,0.5453,0.31184,0.67552,0.30684,0.47796,0.21645,1.392,3.53772,2.13983,1.32638,0.00116832,0.00116832,0.00116832
5,572.434,1.51009,3.00005,1.48774,1.38396,0.41471,0.53422,0.39161,0.20939,0.36912,0.45916,0.30254,0.1363,1.48477,4.07863,1.9018,1.49543,0.00146046,0.00146046,0.00146046
6,678.902,1.52095,3.07501,1.57476,1.41855,0.21264,0.46578,0.21903,0.11433,0.18144,0.38631,0.14404,0.0551,1.46585,4.54958,2.64068,1.50594,0.00175063,0.00175063,0.00175063
7,783.803,1.50596,3.09466,1.527,1.41504,0.23487,0.48786,0.26423,0.13135,0.17683,0.36203,0.17352,0.06411,1.49719,4.4983,3.06806,1.55384,0.0019604,0.0019604,0.0019604
8,890.997,1.53937,3.04014,1.45375,1.39174,0.30582,0.59519,0.36548,0.1936,0.28986,0.47682,0.32001,0.13289,1.43399,3.48569,2.49601,1.43648,0.0019538,0.0019538,0.0019538
9,995.585,1.53468,3.02774,1.50888,1.40616,0.42223,0.54084,0.43676,0.23966,0.36111,0.4415,0.33408,0.13876,1.30612,4.28973,2.24697,1.37927,0.0019472,0.0019472,0.0019472
10,1100.46,1.54441,3.06374,1.47785,1.4354,0.65983,0.66004,0.68266,0.39548,0.61941,0.62031,0.63055,0.28483,1.3105,3.5695,2.06294,1.42282,0.0019406,0.0019406,0.0019406
11,1207.21,1.46736,2.91503,1.37933,1.34904,0.68832,0.57395,0.6473,0.39402,0.66904,0.5355,0.5826,0.25378,1.2855,3.28385,1.81977,1.38649,0.001934,0.001934,0.001934
12,1312.56,1.44729,2.84657,1.38708,1.39251,0.66373,0.62914,0.66944,0.37747,0.53435,0.51876,0.46937,0.17621,1.44385,3.94292,1.73789,1.48567,0.0019274,0.0019274,0.0019274
13,1418.77,1.48767,2.91877,1.40129,1.40152,0.61259,0.62252,0.60701,0.34542,0.59971,0.53578,0.53405,0.25029,1.34445,3.19863,2.02594,1.42018,0.0019208,0.0019208,0.0019208
14,1523.19,1.40801,2.7491,1.29371,1.36088,0.64031,0.62031,0.62279,0.35772,0.58855,0.58417,0.55342,0.25181,1.26701,3.34369,1.82487,1.36346,0.0019142,0.0019142,0.0019142
15,1630.58,1.50662,2.92501,1.39533,1.38975,0.64847,0.65563,0.67768,0.38155,0.53815,0.56291,0.52573,0.23959,1.28833,3.22585,1.60146,1.376,0.0019076,0.0019076,0.0019076
16,1735.88,1.47189,2.80831,1.35232,1.36844,0.64104,0.5872,0.64642,0.38594,0.61985,0.56071,0.60312,0.28041,1.25293,3.2198,2.14378,1.4264,0.001901,0.001901,0.001901
17,1843.83,1.45467,2.76006,1.36433,1.3904,0.69152,0.63135,0.67435,0.37807,0.62905,0.59161,0.61072,0.26784,1.39295,3.14925,1.63402,1.40785,0.0018944,0.0018944,0.0018944
18,1950.4,1.43921,2.70872,1.32706,1.34821,0.75176,0.68856,0.75182,0.45363,0.73535,0.67108,0.71202,0.35783,1.2539,2.66877,1.48224,1.28746,0.0018878,0.0018878,0.0018878
19,2060.64,1.45669,2.75885,1.30182,1.35513,0.73445,0.68992,0.76161,0.46552,0.71142,0.66667,0.72379,0.3924,1.17157,2.70002,1.57581,1.27394,0.0018812,0.0018812,0.0018812
20,2166.51,1.41943,2.71339,1.31036,1.33909,0.7765,0.72859,0.79359,0.47875,0.72826,0.72177,0.77064,0.38858,1.21747,2.66898,1.26972,1.29373,0.0018746,0.0018746,0.0018746
21,2271.59,1.36688,2.67878,1.31751,1.31348,0.65415,0.65784,0.69713,0.41588,0.63439,0.63797,0.65731,0.31802,1.17569,2.91239,1.35873,1.30654,0.001868,0.001868,0.001868
22,2376.3,1.4039,2.74808,1.30318,1.31966,0.71688,0.66446,0.73194,0.43901,0.68746,0.69316,0.70977,0.37867,1.2822,2.78799,1.58962,1.37186,0.0018614,0.0018614,0.0018614
23,2482.62,1.41168,2.68594,1.24088,1.34222,0.76489,0.65784,0.75598,0.45196,0.76746,0.66004,0.74762,0.37872,1.27603,2.71454,1.37117,1.34748,0.0018548,0.0018548,0.0018548
24,2588.53,1.42543,2.78216,1.28383,1.34903,0.7152,0.69095,0.77491,0.46266,0.70606,0.68212,0.73771,0.37421,1.23061,2.57691,1.27092,1.28958,0.0018482,0.0018482,0.0018482
25,2693.55,1.4423,2.76837,1.32793,1.36738,0.72136,0.64901,0.74242,0.45373,0.71646,0.64459,0.72859,0.37559,1.18407,2.42068,1.43742,1.29056,0.0018416,0.0018416,0.0018416
26,2798.46,1.38927,2.68932,1.25825,1.34976,0.69278,0.67204,0.75037,0.45088,0.65015,0.65563,0.67422,0.33197,1.22789,2.86201,1.34061,1.28947,0.001835,0.001835,0.001835
27,2903.45,1.38792,2.56971,1.19372,1.29651,0.7408,0.72553,0.77553,0.45028,0.75234,0.68212,0.72055,0.3875,1.21544,2.58237,1.27273,1.26805,0.0018284,0.0018284,0.0018284
28,3008.81,1.39796,2.66425,1.20065,1.312,0.73027,0.68732,0.75023,0.44559,0.70609,0.65121,0.68661,0.34872,1.22851,3.01257,1.19425,1.30511,0.0018218,0.0018218,0.0018218
29,3114.18,1.37478,2.63002,1.19396,1.30078,0.71368,0.59428,0.66788,0.39507,0.67912,0.56071,0.61032,0.2984,1.26211,2.75449,1.36939,1.31064,0.0018152,0.0018152,0.0018152
