epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5133,1.34888,5.23019,0.00994,0.00915,0.26049,0.04675,0.02055,0.75242,3.90742,0.00738,0.0002,0.0002,0.0002
2,26.399,1.28059,3.83801,0.00955,0.01721,0.49007,0.13323,0.07199,0.82393,3.75522,0.00773,0.000419168,0.000419168,0.000419168
3,28.7936,1.17437,3.44237,0.00906,0.01783,0.50773,0.17777,0.08452,0.84025,3.64347,0.00867,0.000637466,0.000637466,0.000637466
4,30.6773,1.24979,3.063,0.00981,0.02287,0.65121,0.22138,0.11645,0.93169,3.54464,0.01021,0.000854892,0.000854892,0.000854892
5,32.5369,1.25774,3.02602,0.00864,0.02651,0.75497,0.37505,0.21911,0.90451,3.44882,0.01046,0.00107145,0.00107145,0.00107145
6,34.3638,1.25999,3.04897,0.00927,0.4429,0.44401,0.39348,0.2505,0.94041,3.32033,0.01103,0.00128713,0.00128713,0.00128713
7,36.1605,1.30331,2.733,0.00953,0.54435,0.40618,0.44679,0.27529,1.0761,3.01758,0.0123,0.00150194,0.00150194,0.00150194
8,37.9906,1.30118,3.30951,0.01074,0.55607,0.45916,0.48906,0.25475,1.23632,3.16056,0.01418,0.00171588,0.00171588,0.00171588
9,39.9655,1.31025,2.54435,0.00922,0.57724,0.41896,0.50764,0.27858,1.14786,2.98286,0.01338,0.00192895,0.00192895,0.00192895
10,41.7864,1.27407,2.40805,0.00898,0.51397,0.53863,0.52132,0.29514,1.22056,2.51997,0.0132,0.00196436,0.00196436,0.00196436
11,43.5547,1.2778,2.47273,0.00892,0.58448,0.54305,0.56792,0.34314,1.19611,2.25775,0.01381,0.0019604,0.0019604,0.0019604
12,45.3751,1.23754,2.44731,0.00916,0.57367,0.53201,0.5652,0.3173,1.18305,2.10789,0.01273,0.00195644,0.00195644,0.00195644
13,47.1239,1.36035,2.24369,0.00963,0.55646,0.53863,0.55712,0.29661,1.27925,2.04203,0.01336,0.00195248,0.00195248,0.00195248
14,48.8685,1.2932,2.36109,0.00925,0.53456,0.5298,0.53361,0.32209,1.14328,1.9298,0.01241,0.00194852,0.00194852,0.00194852
15,50.802,1.28165,2.18404,0.00914,0.62389,0.53201,0.57799,0.33429,1.11477,1.75139,0.01174,0.00194456,0.00194456,0.00194456
16,52.5122,1.25264,2.10819,0.00998,0.55789,0.53201,0.55858,0.315,1.30741,1.81983,0.01551,0.0019406,0.0019406,0.0019406
17,54.1755,1.3806,2.25859,0.01078,0.65481,0.52097,0.56543,0.34236,1.18886,1.94123,0.01431,0.00193664,0.00193664,0.00193664
