epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1814,1.2203,5.43713,0.01057,0.00977,0.27815,0.04733,0.02439,0.7473,3.88863,0.00726,0.0002,0.0002,0.0002
2,24.0715,1.12611,5.63514,0.00926,0.01481,0.42163,0.14197,0.07198,0.85628,3.81775,0.00779,0.00037842,0.00037842,0.00037842
3,25.9334,1.03585,4.62494,0.00878,0.01907,0.54305,0.22743,0.1026,0.75612,3.70478,0.00766,0.00051328,0.00051328,0.00051328
4,28.266,0.98402,4.21298,0.00865,0.02,0.56954,0.22839,0.12911,0.77782,3.65333,0.00813,0.00060458,0.00060458,0.00060458
5,30.0899,1.15322,3.9852,0.00944,0.01915,0.54525,0.2101,0.11523,0.8442,3.60595,0.00831,0.00065232,0.00065232,0.00065232
6,31.819,1.05646,4.0123,0.01033,0.02318,0.66004,0.27984,0.17576,0.87377,3.42854,0.00909,0.0006565,0.0006565,0.0006565
7,33.5911,1.0352,3.94438,0.00999,0.71228,0.11476,0.34518,0.22925,0.86869,3.20645,0.00901,0.00061712,0.00061712,0.00061712
8,35.3803,1.11134,3.54972,0.00976,0.61693,0.19909,0.36485,0.24557,0.84482,3.05472,0.00918,0.00053418,0.00053418,0.00053418
9,37.0946,1.01024,6.32416,0.0109,0.57044,0.27556,0.40967,0.27601,0.83805,2.95656,0.00925,0.00040768,0.00040768,0.00040768
10,39.007,1.00806,3.96207,0.00851,0.53734,0.39483,0.45624,0.31343,0.83384,2.80923,0.0089,0.000218,0.000218,0.000218
