epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.58229,1.35527,6.40242,0.01203,0.01465,0.41722,0.11758,0.06746,0.83374,3.80184,0.00856,0.00032,0.00032,0.00032
2,12.0933,1.20618,3.91796,0.00949,0.02163,0.61589,0.24594,0.12822,0.77593,3.62234,0.00771,0.000658693,0.000658693,0.000658693
3,15.2678,1.17951,5.42629,0.00885,0.01876,0.53422,0.18482,0.09619,0.95679,3.67195,0.00983,0.00099604,0.00099604,0.00099604
4,17.6623,1.22321,4.89426,0.00851,0.02178,0.62031,0.22247,0.11976,1.0093,3.53693,0.01056,0.00133204,0.00133204,0.00133204
5,20.1099,1.33621,3.67884,0.00967,0.42633,0.25607,0.29378,0.17725,1.14191,3.41855,0.01346,0.00166669,0.00166669,0.00166669
6,22.5063,1.36777,3.27295,0.00967,0.50732,0.28869,0.36179,0.19955,1.19077,3.24575,0.01315,0.0019802,0.0019802,0.0019802
7,24.9324,1.4025,3.03332,0.01076,0.44835,0.427,0.40573,0.22734,1.21063,3.20642,0.01429,0.00197624,0.00197624,0.00197624
8,27.4564,1.43906,2.81517,0.00995,0.51379,0.51876,0.49706,0.2621,1.31212,2.36473,0.01692,0.00197228,0.00197228,0.00197228
9,30.0398,1.4925,2.93651,0.01122,0.39252,0.49448,0.38744,0.20618,1.25637,2.28639,0.01411,0.00196832,0.00196832,0.00196832
10,32.454,1.41349,2.36775,0.01041,0.54618,0.52539,0.55938,0.3099,1.33017,2.14,0.01607,0.00196436,0.00196436,0.00196436
11,34.8235,1.45474,2.82109,0.01101,0.52775,0.50552,0.52003,0.2809,1.40475,1.91142,0.01652,0.0019604,0.0019604,0.0019604
12,37.2747,1.44399,2.4196,0.01196,0.57123,0.5529,0.56782,0.31342,1.30238,1.96959,0.01472,0.00195644,0.00195644,0.00195644
13,39.6823,1.42399,2.98555,0.01102,0.5006,0.58639,0.56425,0.31887,1.26964,1.87392,0.01439,0.00195248,0.00195248,0.00195248
14,42.2413,1.39168,2.39769,0.01216,0.56526,0.5585,0.57578,0.31699,1.32668,1.84185,0.01511,0.00194852,0.00194852,0.00194852
15,44.6147,1.36471,2.1196,0.01012,0.58523,0.65721,0.63302,0.31653,1.56006,2.08404,0.01839,0.00194456,0.00194456,0.00194456
16,47.0294,1.34789,2.65317,0.0099,0.57662,0.47804,0.46589,0.2149,1.54922,2.2305,0.01787,0.0019406,0.0019406,0.0019406
17,49.4204,1.47106,2.23449,0.012,0.61797,0.56512,0.57687,0.30765,1.34902,2.14011,0.01557,0.00193664,0.00193664,0.00193664
18,51.841,1.42006,2.21047,0.01117,0.63429,0.49007,0.57045,0.32394,1.25077,1.53702,0.01454,0.00193268,0.00193268,0.00193268
19,54.2369,1.37083,2.04565,0.01166,0.61911,0.61148,0.63604,0.34074,1.48684,1.35532,0.01929,0.00192872,0.00192872,0.00192872
20,56.9178,1.41539,2.12387,0.01089,0.59794,0.6181,0.63519,0.37006,1.33638,1.45447,0.0159,0.00192476,0.00192476,0.00192476
21,59.3328,1.38949,1.92862,0.01107,0.65549,0.65524,0.68072,0.37974,1.43171,1.55923,0.01718,0.0019208,0.0019208,0.0019208
22,61.7858,1.45678,1.98264,0.01073,0.65487,0.59603,0.63701,0.36286,1.42746,1.55279,0.0169,0.00191684,0.00191684,0.00191684
23,64.188,1.40766,1.93119,0.01023,0.60895,0.50552,0.56239,0.31963,1.28442,1.72129,0.01533,0.00191288,0.00191288,0.00191288
24,66.6321,1.44305,1.9083,0.01106,0.66349,0.57837,0.63286,0.36675,1.23508,1.26097,0.01423,0.00190892,0.00190892,0.00190892
25,69.0051,1.397,1.77195,0.00942,0.58762,0.57879,0.61276,0.34419,1.24916,1.46213,0.01442,0.00190496,0.00190496,0.00190496
26,71.3704,1.27107,2.09651,0.00997,0.64285,0.60706,0.65692,0.3801,1.18691,1.33106,0.01317,0.001901,0.001901,0.001901
27,74.0337,1.34101,1.80355,0.01079,0.6496,0.58057,0.63666,0.36746,1.20525,1.29509,0.0143,0.00189704,0.00189704,0.00189704
28,76.4549,1.40265,1.84873,0.01042,0.63071,0.62963,0.6779,0.40114,1.26773,1.44736,0.01504,0.00189308,0.00189308,0.00189308
29,78.8803,1.45884,1.82981,0.01105,0.67631,0.64459,0.69366,0.37848,1.32967,1.36047,0.01468,0.00188912,0.00188912,0.00188912
30,81.278,1.34316,1.75468,0.01048,0.68777,0.56512,0.67261,0.39402,1.38245,1.43021,0.01677,0.00188516,0.00188516,0.00188516
31,83.6787,1.41267,1.82299,0.01047,0.63506,0.60486,0.66493,0.39356,1.2282,1.35228,0.01388,0.0018812,0.0018812,0.0018812
32,86.1066,1.40145,1.78114,0.01025,0.64875,0.56266,0.64096,0.38514,1.21358,1.39885,0.01469,0.00187724,0.00187724,0.00187724
33,88.5051,1.33567,1.77307,0.01124,0.67101,0.67085,0.71334,0.4105,1.28233,1.27044,0.0151,0.00187328,0.00187328,0.00187328
34,91.1149,1.30113,1.60947,0.01042,0.68695,0.61521,0.69712,0.39502,1.25523,1.29692,0.01452,0.00186932,0.00186932,0.00186932
35,93.5113,1.40113,1.77969,0.01088,0.66565,0.62846,0.67447,0.38308,1.27054,1.33888,0.01509,0.00186536,0.00186536,0.00186536
36,95.9629,1.30383,1.58803,0.01046,0.63347,0.60486,0.657,0.39078,1.31502,1.29619,0.01627,0.0018614,0.0018614,0.0018614
37,98.3535,1.30614,1.54934,0.00997,0.62399,0.6704,0.70012,0.4327,1.29955,1.09145,0.01583,0.00185744,0.00185744,0.00185744
38,100.77,1.41776,1.76365,0.00993,0.6968,0.65563,0.71384,0.44806,1.2062,1.16285,0.01467,0.00185348,0.00185348,0.00185348
39,103.219,1.2582,1.56077,0.00914,0.72642,0.5894,0.67552,0.3969,1.28682,1.23652,0.0154,0.00184952,0.00184952,0.00184952
40,105.659,1.34716,1.62315,0.01026,0.73131,0.61589,0.71912,0.41154,1.22853,1.22505,0.01377,0.00184556,0.00184556,0.00184556
41,108.241,1.37256,1.62239,0.00962,0.69158,0.64238,0.70821,0.40777,1.2404,1.14516,0.01385,0.0018416,0.0018416,0.0018416
42,110.666,1.31552,1.55611,0.01091,0.64862,0.59494,0.6541,0.38758,1.25097,1.25457,0.01539,0.00183764,0.00183764,0.00183764
43,113.068,1.36638,1.52743,0.01017,0.72887,0.65871,0.74663,0.47427,1.19173,1.15975,0.01381,0.00183368,0.00183368,0.00183368
44,115.525,1.34015,1.50564,0.0099,0.76832,0.6755,0.75498,0.45551,1.28472,1.18358,0.01571,0.00182972,0.00182972,0.00182972
45,117.885,1.2253,1.54957,0.00933,0.73006,0.63883,0.7185,0.45502,1.14087,1.23589,0.01281,0.00182576,0.00182576,0.00182576
46,120.285,1.27887,1.45015,0.0088,0.68411,0.59759,0.68818,0.44335,1.17827,1.13882,0.01392,0.0018218,0.0018218,0.0018218
47,122.683,1.29361,1.46335,0.00995,0.70722,0.69316,0.75721,0.47641,1.22643,1.10841,0.01438,0.00181784,0.00181784,0.00181784
48,125.147,1.20947,1.40023,0.00982,0.74235,0.64459,0.74252,0.46724,1.16231,1.06809,0.01296,0.00181388,0.00181388,0.00181388
49,127.679,1.30042,1.56766,0.00969,0.65992,0.61589,0.68657,0.43182,1.11291,1.17923,0.01248,0.00180992,0.00180992,0.00180992
50,130.003,1.15356,1.55737,0.00861,0.70415,0.61148,0.70576,0.4345,1.1717,1.15628,0.01316,0.00180596,0.00180596,0.00180596
51,132.418,1.41285,1.55982,0.01152,0.69408,0.67108,0.74158,0.465,1.14089,1.00767,0.01338,0.001802,0.001802,0.001802
52,134.842,1.29788,1.5035,0.00979,0.69353,0.63442,0.72834,0.46218,1.14525,1.08648,0.01327,0.00179804,0.00179804,0.00179804
53,137.238,1.32877,1.58156,0.00963,0.71763,0.67991,0.74115,0.46583,1.10368,1.10599,0.01195,0.00179408,0.00179408,0.00179408
54,139.633,1.319,1.49161,0.00959,0.73138,0.69536,0.76557,0.48915,1.14831,1.04056,0.01314,0.00179012,0.00179012,0.00179012
55,142.027,1.24249,1.40341,0.00922,0.71447,0.69046,0.73062,0.4633,1.20327,1.07828,0.0141,0.00178616,0.00178616,0.00178616
56,144.658,1.31452,1.54373,0.01011,0.72029,0.6651,0.74896,0.46733,1.17351,1.07848,0.01332,0.0017822,0.0017822,0.0017822
57,147.018,1.18792,1.57863,0.00907,0.70541,0.66076,0.7435,0.4632,1.19608,1.05142,0.01452,0.00177824,0.00177824,0.00177824
58,149.408,1.37131,1.53516,0.01017,0.69155,0.64837,0.71155,0.41877,1.24029,1.21397,0.01465,0.00177428,0.00177428,0.00177428
59,151.807,1.30267,1.50027,0.00951,0.70645,0.68874,0.72604,0.45257,1.09685,1.04534,0.0127,0.00177032,0.00177032,0.00177032
60,154.227,1.3662,1.52517,0.01,0.66989,0.65784,0.69705,0.40505,1.36767,1.23995,0.01704,0.00176636,0.00176636,0.00176636
61,156.63,1.26029,1.35487,0.00943,0.70225,0.62914,0.69788,0.41145,1.26698,1.12166,0.01475,0.0017624,0.0017624,0.0017624
62,159.023,1.33421,1.50793,0.00967,0.68521,0.66225,0.69455,0.43075,1.22772,1.18718,0.01449,0.00175844,0.00175844,0.00175844
63,161.558,1.27327,1.41991,0.00951,0.68815,0.56954,0.64798,0.40043,1.25194,1.31872,0.01471,0.00175448,0.00175448,0.00175448
64,164.024,1.27351,1.36836,0.00998,0.80618,0.62693,0.74451,0.458,1.14397,0.97678,0.01239,0.00175052,0.00175052,0.00175052
65,166.383,1.36512,1.43097,0.01032,0.73905,0.68212,0.73712,0.44156,1.19664,0.96062,0.01383,0.00174656,0.00174656,0.00174656
66,168.723,1.34378,1.45981,0.01029,0.67519,0.63783,0.70487,0.44194,1.10661,1.06479,0.01277,0.0017426,0.0017426,0.0017426
