epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3402,1.0538,11.3216,0.01053,0.01992,0.56733,0.16661,0.07413,1.03914,3.80676,0.01267,0.00032,0.00032,0.00032
2,12.8131,1.10484,14.7301,0.01202,0.02225,0.63355,0.22621,0.10595,0.96119,3.72734,0.01127,0.00059466,0.00059466,0.00059466
3,15.5699,1.04702,9.98178,0.0117,0.01829,0.52097,0.1563,0.09295,0.95973,3.58825,0.01071,0.000802,0.000802,0.000802
4,17.9354,1.12551,8.20529,0.0133,0.22032,0.39514,0.22657,0.13292,0.98001,3.44918,0.01064,0.00094202,0.00094202,0.00094202
5,20.3227,1.19173,7.51254,0.01102,0.42357,0.35524,0.31652,0.16255,1.0949,3.28126,0.01241,0.00101472,0.00101472,0.00101472
6,22.598,1.17273,6.67274,0.01332,0.53007,0.22908,0.31874,0.19057,1.02806,3.26366,0.01079,0.00101,0.00101,0.00101
7,24.9415,1.16809,6.33108,0.01185,0.41989,0.46358,0.40967,0.21619,1.24008,2.88663,0.01456,0.000812,0.000812,0.000812
8,27.3342,1.27053,5.67283,0.01105,0.49802,0.43929,0.48165,0.2772,1.13906,2.42135,0.01285,0.000614,0.000614,0.000614
9,29.8249,1.27045,4.43924,0.01201,0.53535,0.42605,0.46972,0.29562,1.05056,2.2444,0.01116,0.000416,0.000416,0.000416
10,32.1372,1.12431,5.33254,0.01301,0.52947,0.45209,0.46743,0.30474,0.97156,2.15683,0.01003,0.000218,0.000218,0.000218
