epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0994,1.50061,3.76428,0.00906,0.01395,0.39735,0.12305,0.06814,0.83029,3.77751,0.00735,0.00028,0.00028,0.00028
2,13.4731,1.39291,3.04023,0.00842,0.02364,0.67329,0.262,0.12396,0.90517,3.6208,0.00834,0.000578852,0.000578852,0.000578852
3,17.2219,1.44647,2.61266,0.00863,0.02403,0.68433,0.29434,0.16011,0.94262,3.55224,0.00983,0.000876515,0.000876515,0.000876515
4,19.5341,1.44931,2.40441,0.00853,0.02891,0.8234,0.3676,0.18244,1.27513,3.63729,0.01459,0.00117299,0.00117299,0.00117299
5,21.8546,1.46176,2.44153,0.00923,0.73425,0.19518,0.43241,0.23213,1.17417,3.24452,0.01326,0.00146828,0.00146828,0.00146828
6,24.1685,1.51122,2.31579,0.00877,0.45028,0.47916,0.42914,0.24296,1.17455,3.08634,0.01317,0.00176238,0.00176238,0.00176238
7,26.4477,1.51819,2.22005,0.00927,0.53215,0.45698,0.44679,0.24454,1.17013,2.86157,0.01251,0.00197624,0.00197624,0.00197624
8,28.908,1.54286,2.1621,0.00923,0.49491,0.43267,0.43514,0.23208,1.32013,2.34499,0.01432,0.00197228,0.00197228,0.00197228
9,31.1151,1.53124,2.0002,0.00874,0.58368,0.53863,0.55283,0.32372,1.12997,2.00241,0.01237,0.00196832,0.00196832,0.00196832
10,33.3664,1.53201,1.94378,0.00875,0.57302,0.53919,0.54096,0.3156,1.12747,1.96439,0.01189,0.00196436,0.00196436,0.00196436
11,35.5815,1.50999,1.93287,0.00899,0.57175,0.50331,0.50359,0.28092,1.20767,1.97128,0.01364,0.0019604,0.0019604,0.0019604
12,37.8315,1.4716,1.80488,0.0087,0.64347,0.50993,0.58266,0.30076,1.41629,1.84579,0.01606,0.00195644,0.00195644,0.00195644
13,39.9928,1.44482,1.79699,0.00879,0.64711,0.56268,0.60584,0.35511,1.22067,1.61461,0.01373,0.00195248,0.00195248,0.00195248
14,42.302,1.46397,1.69381,0.00824,0.61147,0.5585,0.63039,0.37414,1.22131,1.42764,0.01409,0.00194852,0.00194852,0.00194852
15,44.7223,1.45649,1.78672,0.00864,0.63207,0.59539,0.63779,0.36206,1.0955,1.56534,0.01186,0.00194456,0.00194456,0.00194456
16,46.9631,1.48752,1.61814,0.0084,0.643,0.56733,0.60794,0.38671,1.04031,1.51105,0.01097,0.0019406,0.0019406,0.0019406
17,49.1871,1.4453,1.65506,0.00815,0.64243,0.56954,0.62759,0.38278,1.10011,1.46452,0.01137,0.00193664,0.00193664,0.00193664
18,51.4001,1.52723,1.64983,0.00864,0.77628,0.62031,0.72263,0.42099,1.19623,1.38077,0.013,0.00193268,0.00193268,0.00193268
19,53.6607,1.40077,1.66701,0.00912,0.69518,0.57394,0.63875,0.38307,1.19987,1.37789,0.01308,0.00192872,0.00192872,0.00192872
20,55.9037,1.46492,1.65936,0.00933,0.64307,0.57395,0.64126,0.40253,1.04531,1.38983,0.01166,0.00192476,0.00192476,0.00192476
21,58.2526,1.41141,1.56408,0.00888,0.64813,0.57837,0.63348,0.38801,1.09325,1.40971,0.01206,0.0019208,0.0019208,0.0019208
22,60.4788,1.43841,1.6124,0.00929,0.69463,0.59161,0.66988,0.38656,1.18891,1.40901,0.01282,0.00191684,0.00191684,0.00191684
23,62.6778,1.44283,1.53028,0.00945,0.70768,0.64018,0.70529,0.43638,1.21161,1.25655,0.01344,0.00191288,0.00191288,0.00191288
24,64.9442,1.43211,1.50274,0.00901,0.65661,0.69226,0.73256,0.45963,1.13597,1.10727,0.01299,0.00190892,0.00190892,0.00190892
25,67.1341,1.39648,1.47718,0.00866,0.73718,0.62693,0.72549,0.43491,1.18511,1.18423,0.013,0.00190496,0.00190496,0.00190496
26,69.3244,1.40449,1.43617,0.00841,0.70317,0.69095,0.74449,0.43452,1.23949,1.18887,0.01356,0.001901,0.001901,0.001901
27,71.6838,1.42768,1.4113,0.00796,0.65288,0.66433,0.70157,0.43048,1.22577,1.3309,0.01391,0.00189704,0.00189704,0.00189704
28,73.9193,1.48301,1.48006,0.00871,0.70988,0.65784,0.73096,0.44981,1.16245,1.19574,0.01304,0.00189308,0.00189308,0.00189308
29,76.096,1.44283,1.5353,0.00897,0.67733,0.65801,0.72325,0.41384,1.19761,1.33426,0.01292,0.00188912,0.00188912,0.00188912
