epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8778,1.39032,4.20525,0.00994,0.01473,0.41943,0.11766,0.0583,0.91175,3.83151,0.00861,0.00028,0.00028,0.00028
2,14.169,1.25817,3.45496,0.00859,0.02008,0.57174,0.23498,0.10305,0.8856,3.70487,0.00799,0.00052258,0.00052258,0.00052258
3,17.0329,1.28963,3.1656,0.00833,0.02124,0.60486,0.28384,0.15297,0.83139,3.65272,0.00825,0.00070576,0.00070576,0.00070576
4,19.3083,1.30787,3.32999,0.00932,0.0214,0.60927,0.28344,0.15241,1.00878,3.58765,0.01014,0.00082954,0.00082954,0.00082954
5,21.4958,1.30032,2.89576,0.00983,0.6538,0.15894,0.35735,0.21664,1.08286,3.16681,0.01281,0.00089392,0.00089392,0.00089392
6,23.6814,1.35435,2.83166,0.01052,0.78168,0.26083,0.49625,0.28562,1.07703,3.05432,0.01075,0.0008989,0.0008989,0.0008989
7,25.8516,1.28378,2.62637,0.0096,0.59582,0.4106,0.47707,0.30856,0.99271,2.89823,0.00997,0.000812,0.000812,0.000812
8,28.2164,1.29802,2.59976,0.00965,0.55839,0.52759,0.5459,0.35771,0.94012,2.43227,0.00972,0.000614,0.000614,0.000614
9,30.3583,1.29627,2.61916,0.00891,0.58599,0.54992,0.58079,0.35087,0.98672,2.26323,0.00921,0.000416,0.000416,0.000416
10,32.5212,1.2679,2.3957,0.00865,0.60771,0.52539,0.57579,0.34676,1.02268,2.11957,0.00969,0.000218,0.000218,0.000218
