epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.81081,1.06488,0.73096,0.00582,0.82658,0.77263,0.85753,0.62113,0.8467,0.63851,0.00924,0.00028,0.00028,0.00028
2,5.14433,1.09749,0.75461,0.00611,0.82071,0.76821,0.85031,0.59782,0.91281,0.67553,0.0099,0.000578852,0.000578852,0.000578852
3,7.99665,1.12402,0.773,0.00622,0.83634,0.79912,0.87301,0.60306,0.98016,0.65349,0.01108,0.000876515,0.000876515,0.000876515
4,10.3064,1.16105,0.80411,0.00624,0.84865,0.73951,0.84775,0.59397,0.92146,0.80035,0.00991,0.00117299,0.00117299,0.00117299
5,12.572,1.14669,0.85232,0.0067,0.7916,0.77142,0.83077,0.57057,1.04476,0.72327,0.01224,0.00146828,0.00146828,0.00146828
6,14.7893,1.20642,0.8436,0.00639,0.79779,0.69675,0.79832,0.56098,1.03402,0.93164,0.01222,0.00176238,0.00176238,0.00176238
7,17.0021,1.20366,0.8461,0.00692,0.77075,0.72627,0.78839,0.53098,1.05145,0.8393,0.01203,0.00197624,0.00197624,0.00197624
8,19.205,1.25251,0.88468,0.0073,0.72251,0.74147,0.78975,0.52344,1.12286,0.86174,0.01286,0.00197228,0.00197228,0.00197228
9,21.5862,1.22934,0.85576,0.00653,0.7458,0.75717,0.80851,0.55225,1.01089,0.83945,0.01134,0.00196832,0.00196832,0.00196832
10,23.8299,1.2616,0.8852,0.00678,0.79258,0.75055,0.82737,0.57562,0.96962,0.86452,0.01077,0.00196436,0.00196436,0.00196436
11,26.0431,1.27666,0.88988,0.00744,0.78089,0.73952,0.81202,0.55033,1.04535,0.88191,0.01134,0.0019604,0.0019604,0.0019604
12,28.2625,1.19931,0.79953,0.00654,0.79657,0.72848,0.80411,0.56156,0.95248,0.88692,0.01073,0.00195644,0.00195644,0.00195644
13,30.4306,1.17243,0.80976,0.00679,0.82035,0.73588,0.81504,0.57587,0.94463,0.81558,0.0108,0.00195248,0.00195248,0.00195248
14,32.6531,1.22245,0.82438,0.00654,0.86539,0.72379,0.83024,0.58422,0.93015,0.81621,0.01068,0.00194852,0.00194852,0.00194852
15,35.0406,1.18622,0.83193,0.00672,0.79367,0.78969,0.8442,0.60065,0.92496,0.7947,0.01038,0.00194456,0.00194456,0.00194456
16,37.2743,1.19232,0.79331,0.00636,0.81261,0.74666,0.83086,0.57874,0.9124,0.77363,0.00992,0.0019406,0.0019406,0.0019406
17,39.4364,1.1924,0.81427,0.00621,0.76686,0.75276,0.81069,0.54151,0.97352,0.82047,0.00983,0.00193664,0.00193664,0.00193664
18,41.6488,1.31073,0.92314,0.00712,0.79898,0.71744,0.82745,0.55516,0.98574,0.80071,0.01043,0.00193268,0.00193268,0.00193268
19,43.8557,1.18023,0.87108,0.00741,0.77552,0.77042,0.82455,0.54722,1.06296,0.78985,0.0114,0.00192872,0.00192872,0.00192872
20,46.0862,1.20564,0.86271,0.00733,0.79928,0.70322,0.78331,0.50314,1.11682,0.88913,0.01172,0.00192476,0.00192476,0.00192476
21,48.4229,1.18777,0.83114,0.00719,0.81579,0.69978,0.79062,0.54463,1.0488,0.8504,0.012,0.0019208,0.0019208,0.0019208
22,50.6273,1.20454,0.86858,0.00736,0.79963,0.75055,0.81092,0.54823,1.01709,0.76602,0.01121,0.00191684,0.00191684,0.00191684
23,52.8317,1.17984,0.84567,0.00727,0.77941,0.73289,0.80497,0.55077,0.962,0.78815,0.01079,0.00191288,0.00191288,0.00191288
24,55.0746,1.19699,0.82273,0.0071,0.82643,0.68653,0.80121,0.54315,0.99018,0.86277,0.01094,0.00190892,0.00190892,0.00190892
25,57.2649,1.18219,0.82757,0.00692,0.77606,0.74208,0.81065,0.54504,1.00584,0.84376,0.01082,0.00190496,0.00190496,0.00190496
26,59.4817,1.16,0.79226,0.00657,0.78237,0.75938,0.81871,0.5629,1.00909,0.83957,0.01117,0.001901,0.001901,0.001901
27,61.8677,1.22795,0.80892,0.00653,0.79793,0.75837,0.83375,0.55943,1.02266,0.80081,0.01141,0.00189704,0.00189704,0.00189704
28,64.0757,1.24667,0.86525,0.00694,0.83782,0.72848,0.8261,0.5641,0.98426,0.87833,0.01044,0.00189308,0.00189308,0.00189308
29,66.2413,1.2201,0.91762,0.00732,0.83811,0.71965,0.81182,0.52646,1.06888,0.99935,0.01123,0.00188912,0.00188912,0.00188912
30,68.4614,1.23914,0.92819,0.008,0.75896,0.77152,0.81872,0.53024,1.04619,0.83186,0.01114,0.00188516,0.00188516,0.00188516
31,70.6991,1.25376,0.88928,0.00743,0.74923,0.73289,0.7882,0.52944,1.05106,0.96799,0.01199,0.0018812,0.0018812,0.0018812
32,72.9269,1.22795,0.86662,0.00698,0.75149,0.7638,0.80658,0.55392,1.02261,0.78666,0.01307,0.00187724,0.00187724,0.00187724
33,75.2498,1.23494,0.82296,0.0064,0.76961,0.766,0.81822,0.55745,1.01455,0.84956,0.01148,0.00187328,0.00187328,0.00187328
