epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56778,1.34541,3.23346,1.52379,0.03054,0.86976,0.21731,0.1327,0.84705,2.78886,1.03048,0.0002,0.0002,0.0002
2,5.73596,1.21529,2.40695,1.28229,0.02891,0.8234,0.18514,0.11139,0.95211,2.86118,1.13818,0.00037842,0.00037842,0.00037842
3,6.84057,1.18479,1.95409,1.30293,0.02729,0.77704,0.17348,0.08579,1.17403,2.91108,1.29702,0.00051328,0.00051328,0.00051328
4,7.91737,1.16416,1.94903,1.28351,0.03124,0.88962,0.18754,0.11189,1.03531,2.65145,1.13049,0.00060458,0.00060458,0.00060458
5,9.0199,1.26171,1.79293,1.32843,0.05549,0.42826,0.23183,0.11226,1.16823,2.72481,1.23593,0.00065232,0.00065232,0.00065232
6,10.3227,1.16656,1.77981,1.32572,0.4249,0.18543,0.23033,0.15072,1.02301,2.31916,1.16661,0.0006565,0.0006565,0.0006565
7,11.416,1.12443,1.81907,1.29686,0.56481,0.2292,0.30285,0.17268,1.12103,2.26123,1.1864,0.00061712,0.00061712,0.00061712
8,12.5268,1.14334,1.67829,1.27785,0.72369,0.30065,0.50377,0.30701,1.12953,2.06822,1.22742,0.00053418,0.00053418,0.00053418
9,13.6039,1.10101,2.34062,1.32491,0.75092,0.39956,0.58415,0.37707,1.08287,1.92516,1.20419,0.00040768,0.00040768,0.00040768
10,14.6887,1.07568,1.65703,1.22613,0.74766,0.55629,0.65102,0.42379,1.02343,1.7286,1.16709,0.000218,0.000218,0.000218
