epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84408,1.47286,3.27952,1.54319,0.02721,0.77483,0.2001,0.10764,0.94686,2.95511,1.17705,0.0002,0.0002,0.0002
2,5.02511,1.45216,2.14346,1.41983,0.03093,0.88079,0.26173,0.14369,1.02238,2.669,1.08436,0.000419168,0.000419168,0.000419168
3,6.191,1.29956,1.89542,1.36912,0.03155,0.89845,0.26854,0.14152,1.06346,2.55063,1.16519,0.000637466,0.000637466,0.000637466
4,7.30813,1.28893,1.71011,1.36301,0.42613,0.18102,0.19661,0.09062,1.29627,2.5224,1.36849,0.000854892,0.000854892,0.000854892
5,8.42371,1.35266,1.72418,1.38258,0.38856,0.20971,0.21314,0.09827,1.36934,2.32538,1.40907,0.00107145,0.00107145,0.00107145
6,9.70645,1.34538,1.78662,1.38111,0.28243,0.4379,0.33189,0.15289,1.49376,2.04015,1.55128,0.00128713,0.00128713,0.00128713
7,10.8096,1.34032,1.65516,1.38854,0.2634,0.19868,0.21544,0.10892,1.38927,3.68368,1.54529,0.00150194,0.00150194,0.00150194
8,11.8864,1.37844,1.98558,1.43845,0.38497,0.44592,0.35127,0.19055,1.37901,2.30225,1.55318,0.00171588,0.00171588,0.00171588
9,12.9689,1.37708,1.58358,1.40491,0.46497,0.54676,0.44608,0.23861,1.38876,2.17016,1.53907,0.00192895,0.00192895,0.00192895
10,14.0783,1.37565,1.57143,1.39549,0.18873,0.53642,0.19036,0.09551,1.42706,3.14819,1.6011,0.00196436,0.00196436,0.00196436
11,15.1652,1.32322,1.59677,1.3607,0.45113,0.59513,0.44405,0.24802,1.36875,2.02219,1.62104,0.0019604,0.0019604,0.0019604
12,16.2747,1.3654,1.65311,1.39278,0.50566,0.38631,0.41327,0.23065,1.5022,3.51643,1.63193,0.00195644,0.00195644,0.00195644
13,17.3353,1.43734,1.54192,1.45384,0.54591,0.56528,0.522,0.26978,1.5652,1.96419,1.68271,0.00195248,0.00195248,0.00195248
14,18.4547,1.31771,1.60355,1.38389,0.29847,0.42826,0.24097,0.1312,1.3646,3.11821,1.53029,0.00194852,0.00194852,0.00194852
15,19.5353,1.34788,1.51309,1.39672,0.49078,0.52539,0.42542,0.23536,1.45893,2.94504,1.53171,0.00194456,0.00194456,0.00194456
16,20.617,1.28928,1.48245,1.39621,0.50807,0.46137,0.47536,0.2699,1.31119,2.57131,1.45666,0.0019406,0.0019406,0.0019406
17,21.7352,1.38713,1.68079,1.44676,0.59053,0.5221,0.55742,0.31509,1.34111,2.29725,1.47749,0.00193664,0.00193664,0.00193664
18,22.9349,1.34554,1.48349,1.4015,0.5577,0.56291,0.55137,0.31392,1.43735,2.59423,1.54691,0.00193268,0.00193268,0.00193268
