epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39091,1.49398,3.43831,1.57649,0.03054,0.86976,0.31113,0.15473,1.03755,2.70015,1.07947,0.00032,0.00032,0.00032
2,3.94905,1.31558,2.00091,1.38387,0.03054,0.86976,0.24815,0.12157,1.09553,2.69791,1.20384,0.000658693,0.000658693,0.000658693
3,7.48526,1.34929,2.66813,1.40531,0.34277,0.1766,0.16604,0.06756,1.45377,2.63414,1.53894,0.00099604,0.00099604,0.00099604
4,8.94357,1.33831,4.63773,1.33686,0.24767,0.15232,0.1297,0.05181,1.83363,2.56072,1.79778,0.00133204,0.00133204,0.00133204
5,10.44,1.41161,2.05954,1.43688,0.15253,0.4702,0.1257,0.05457,1.84191,2.73857,2.37159,0.00166669,0.00166669,0.00166669
6,11.8682,1.48249,2.02858,1.43334,0.18519,0.09934,0.06719,0.02689,1.91605,17.191,2.18245,0.0019802,0.0019802,0.0019802
7,13.2956,1.51324,1.86968,1.51564,0.42658,0.49669,0.41972,0.19795,1.51153,4.17275,1.67695,0.00197624,0.00197624,0.00197624
8,14.8067,1.5305,1.83434,1.49632,0.48341,0.56291,0.52279,0.25654,1.59604,4.12599,1.7969,0.00197228,0.00197228,0.00197228
9,16.3273,1.54257,1.99309,1.5169,0.50568,0.58057,0.53918,0.2757,1.49421,2.42243,1.68619,0.00196832,0.00196832,0.00196832
10,17.8428,1.52524,1.70713,1.50918,0.33889,0.52539,0.38992,0.18301,1.68088,3.11935,1.84075,0.00196436,0.00196436,0.00196436
11,19.7639,1.54804,1.94665,1.52898,0.52176,0.52984,0.51514,0.24389,1.64191,2.23022,1.66073,0.0019604,0.0019604,0.0019604
12,21.2357,1.55728,1.7937,1.54463,0.53038,0.53422,0.52373,0.26904,1.58638,1.63962,1.56399,0.00195644,0.00195644,0.00195644
13,22.6771,1.43854,3.86734,1.40616,0.64087,0.50331,0.54761,0.29058,1.50451,1.5447,1.54737,0.00195248,0.00195248,0.00195248
14,24.208,1.43893,1.81263,1.49925,0.64208,0.65341,0.6571,0.34666,1.4567,1.60733,1.53976,0.00194852,0.00194852,0.00194852
