epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04064,1.26336,3.9952,1.4546,0.03109,0.88521,0.20235,0.11048,0.96468,2.80197,1.11783,0.00032,0.00032,0.00032
2,4.57124,1.11041,10.9685,1.27134,0.02659,0.75717,0.17139,0.0894,1.23246,2.91934,1.4229,0.00059466,0.00059466,0.00059466
3,6.03559,1.10173,5.20297,1.30629,0.70043,0.12387,0.27912,0.13314,1.379,2.55169,1.40658,0.000802,0.000802,0.000802
4,7.51425,1.42463,3.16928,1.53773,0.57594,0.14391,0.25269,0.11524,1.43423,2.4442,1.47506,0.00094202,0.00094202,0.00094202
5,8.9588,1.34344,4.57111,1.37022,0.30807,0.17439,0.16374,0.07388,1.52457,2.41323,1.58342,0.00101472,0.00101472,0.00101472
6,10.3769,1.34002,4.40743,1.47619,0.31414,0.28035,0.20716,0.09176,1.61321,2.41802,1.84911,0.00101,0.00101,0.00101
7,11.8006,1.35274,3.94326,1.47323,0.43922,0.45254,0.42555,0.22224,1.51461,1.98134,1.71649,0.000812,0.000812,0.000812
8,13.2734,1.31686,2.80428,1.37858,0.55384,0.50147,0.48765,0.27586,1.30933,1.90608,1.38737,0.000614,0.000614,0.000614
9,14.699,1.38034,2.20059,1.44685,0.4969,0.59522,0.50985,0.30335,1.26234,1.67279,1.36222,0.000416,0.000416,0.000416
10,16.1271,1.21101,2.33483,1.40295,0.52785,0.51827,0.51703,0.29782,1.26028,1.6943,1.34753,0.000218,0.000218,0.000218
