epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03835,1.63347,2.77528,1.51257,0.05346,0.44812,0.26611,0.14686,1.10455,2.56783,1.12123,0.00028,0.00028,0.00028
2,5.48016,1.51931,1.90287,1.40076,0.0324,0.92274,0.27518,0.14378,1.15297,2.53986,1.15882,0.000578852,0.000578852,0.000578852
3,6.87291,1.49482,1.63831,1.39111,0.5108,0.16366,0.21612,0.08842,1.44308,2.52958,1.42447,0.000876515,0.000876515,0.000876515
4,8.25352,1.54145,1.54455,1.41344,0.30044,0.24945,0.22154,0.08796,1.69312,2.2977,1.73242,0.00117299,0.00117299,0.00117299
5,9.61676,1.53319,1.60845,1.43365,0.3652,0.42605,0.3364,0.16296,1.60412,1.98175,1.66335,0.00146828,0.00146828,0.00146828
6,10.9913,1.55211,1.53817,1.40265,0.4757,0.45475,0.44671,0.21472,1.53084,1.92171,1.65502,0.00176238,0.00176238,0.00176238
7,12.3939,1.54134,1.48102,1.4248,0.64864,0.50993,0.5878,0.31712,1.40752,1.94322,1.60952,0.00197624,0.00197624,0.00197624
8,13.8445,1.592,1.54784,1.46089,0.48027,0.58057,0.46346,0.20783,1.58904,2.49012,1.70058,0.00197228,0.00197228,0.00197228
9,15.6113,1.55295,1.46593,1.4135,0.54141,0.63576,0.53135,0.27626,1.39131,2.64818,1.47012,0.00196832,0.00196832,0.00196832
10,16.9752,1.51662,1.40565,1.40569,0.59749,0.64882,0.65238,0.35764,1.33056,1.61388,1.4539,0.00196436,0.00196436,0.00196436
11,18.3815,1.51995,1.44713,1.38981,0.60782,0.53422,0.5604,0.29657,1.47783,2.37328,1.7244,0.0019604,0.0019604,0.0019604
12,19.7723,1.42026,1.3398,1.34126,0.72061,0.69316,0.73379,0.42365,1.31376,1.40474,1.37997,0.00195644,0.00195644,0.00195644
13,21.1456,1.43707,1.32838,1.35438,0.65858,0.64238,0.66839,0.37139,1.28348,1.52946,1.38364,0.00195248,0.00195248,0.00195248
14,22.517,1.46141,1.33836,1.34946,0.70277,0.66446,0.72985,0.42168,1.24627,1.45439,1.34335,0.00194852,0.00194852,0.00194852
15,23.9271,1.45483,1.43541,1.35678,0.66248,0.6456,0.66687,0.37601,1.34,2.38372,1.42956,0.00194456,0.00194456,0.00194456
16,25.3535,1.48247,1.29642,1.3572,0.61409,0.69095,0.67999,0.4053,1.23419,1.5271,1.32383,0.0019406,0.0019406,0.0019406
17,26.7132,1.44304,1.33988,1.34629,0.65945,0.59161,0.63931,0.34777,1.3708,1.46321,1.41586,0.00193664,0.00193664,0.00193664
18,28.1201,1.56113,1.38471,1.40043,0.63769,0.66667,0.66582,0.34578,1.31098,1.98072,1.37797,0.00193268,0.00193268,0.00193268
19,29.4908,1.41226,1.39897,1.38103,0.67719,0.58278,0.6568,0.36633,1.24617,1.98503,1.34579,0.00192872,0.00192872,0.00192872
20,30.8631,1.43552,1.35145,1.39324,0.54842,0.68653,0.61442,0.34994,1.30313,2.34069,1.38133,0.00192476,0.00192476,0.00192476
21,32.1926,1.40621,1.26387,1.35851,0.65493,0.67035,0.70387,0.41769,1.25978,1.64795,1.35914,0.0019208,0.0019208,0.0019208
22,33.5593,1.37076,1.29625,1.34204,0.72703,0.6777,0.74137,0.45614,1.16278,1.29708,1.2771,0.00191684,0.00191684,0.00191684
23,34.9633,1.38925,1.25923,1.35792,0.74978,0.66887,0.74391,0.44147,1.14873,1.56988,1.28115,0.00191288,0.00191288,0.00191288
24,36.309,1.40949,1.26245,1.36034,0.77247,0.68212,0.76965,0.45384,1.17137,1.22847,1.28565,0.00190892,0.00190892,0.00190892
25,37.838,1.38309,1.26766,1.34822,0.78338,0.70861,0.79816,0.47485,1.2387,1.39965,1.36239,0.00190496,0.00190496,0.00190496
26,39.2837,1.35461,1.24091,1.30793,0.7601,0.73289,0.77782,0.46682,1.20062,1.55996,1.34118,0.001901,0.001901,0.001901
27,40.6353,1.4113,1.21389,1.32854,0.70767,0.74393,0.75547,0.46994,1.17243,1.48639,1.29541,0.00189704,0.00189704,0.00189704
28,42.0153,1.40934,1.25981,1.33838,0.68435,0.65121,0.67898,0.40191,1.22782,1.59921,1.34418,0.00189308,0.00189308,0.00189308
29,43.3409,1.40213,1.28927,1.36564,0.65741,0.66446,0.69268,0.40371,1.21375,1.41938,1.31148,0.00188912,0.00188912,0.00188912
30,44.6797,1.42238,1.29106,1.38038,0.74369,0.67991,0.76239,0.45934,1.19106,1.16501,1.31513,0.00188516,0.00188516,0.00188516
31,46.0267,1.4223,1.25275,1.36554,0.66612,0.65563,0.70684,0.4289,1.22014,1.50909,1.329,0.0018812,0.0018812,0.0018812
32,47.3901,1.35645,1.2001,1.31991,0.7355,0.68433,0.74945,0.48127,1.15289,1.22066,1.26609,0.00187724,0.00187724,0.00187724
33,48.768,1.37794,1.16286,1.30502,0.75041,0.70351,0.77044,0.4801,1.18355,1.23231,1.29592,0.00187328,0.00187328,0.00187328
34,50.115,1.4373,1.25286,1.34417,0.73365,0.72185,0.78407,0.46599,1.26302,1.13788,1.37257,0.00186932,0.00186932,0.00186932
35,51.4785,1.37195,1.1821,1.31357,0.80612,0.6755,0.78794,0.4741,1.17034,1.08363,1.32694,0.00186536,0.00186536,0.00186536
36,52.836,1.32496,1.19441,1.30648,0.82375,0.62937,0.76879,0.47132,1.19393,1.09983,1.27345,0.0018614,0.0018614,0.0018614
37,54.1459,1.29748,1.13719,1.29687,0.77062,0.69536,0.75985,0.46415,1.18671,1.20995,1.32272,0.00185744,0.00185744,0.00185744
38,55.486,1.30309,1.16018,1.30037,0.74603,0.71744,0.77545,0.47832,1.12269,0.99584,1.21378,0.00185348,0.00185348,0.00185348
39,56.836,1.31594,1.13796,1.32754,0.75223,0.66351,0.74606,0.43032,1.26609,1.12491,1.31161,0.00184952,0.00184952,0.00184952
40,58.1924,1.35584,1.19029,1.32318,0.67894,0.62554,0.685,0.41993,1.10945,1.25124,1.27016,0.00184556,0.00184556,0.00184556
41,59.5398,1.32313,1.18679,1.2947,0.73878,0.71082,0.79123,0.50232,1.14662,1.14173,1.28621,0.0018416,0.0018416,0.0018416
42,60.9584,1.30911,1.14009,1.30237,0.75953,0.73068,0.81331,0.51157,1.14716,1.05535,1.24709,0.00183764,0.00183764,0.00183764
43,62.3661,1.32664,1.12182,1.27979,0.77725,0.69536,0.79049,0.50717,1.07386,1.19729,1.25299,0.00183368,0.00183368,0.00183368
44,63.7402,1.34979,1.0987,1.29707,0.75787,0.71744,0.79625,0.47977,1.16433,1.26283,1.28864,0.00182972,0.00182972,0.00182972
45,65.2261,1.28854,1.09385,1.28647,0.7817,0.75276,0.79611,0.50494,1.08675,1.0812,1.24475,0.00182576,0.00182576,0.00182576
46,66.5823,1.30683,1.10553,1.29891,0.75555,0.75052,0.79975,0.5032,1.17136,1.08803,1.28633,0.0018218,0.0018218,0.0018218
47,67.9297,1.24544,1.05894,1.25986,0.78084,0.70861,0.82083,0.50599,1.21117,1.10594,1.3155,0.00181784,0.00181784,0.00181784
48,69.2862,1.3105,1.10029,1.30232,0.74866,0.72988,0.80746,0.52147,1.05666,0.98874,1.23349,0.00181388,0.00181388,0.00181388
49,70.6692,1.34495,1.11147,1.33126,0.81711,0.69536,0.80584,0.49523,1.18026,1.06971,1.27516,0.00180992,0.00180992,0.00180992
50,71.9985,1.26796,1.06719,1.26833,0.7682,0.73158,0.79909,0.50146,1.12623,1.08278,1.27355,0.00180596,0.00180596,0.00180596
51,73.3459,1.31908,1.07848,1.27537,0.74927,0.73226,0.80352,0.50715,1.08938,1.07436,1.27785,0.001802,0.001802,0.001802
52,74.7106,1.35164,1.08428,1.30008,0.81038,0.72848,0.81807,0.5375,1.07737,1.034,1.19415,0.00179804,0.00179804,0.00179804
53,76.0561,1.30064,1.10985,1.2766,0.80314,0.66446,0.76558,0.51277,1.03303,1.02825,1.20132,0.00179408,0.00179408,0.00179408
54,77.3758,1.30259,1.12069,1.29271,0.79691,0.70199,0.80025,0.50131,1.09576,0.98479,1.22846,0.00179012,0.00179012,0.00179012
55,78.7162,1.25577,1.07222,1.27675,0.78593,0.66456,0.76408,0.48465,1.06341,1.05384,1.22634,0.00178616,0.00178616,0.00178616
56,80.0632,1.27228,1.07906,1.27,0.77085,0.75055,0.8198,0.51532,1.10075,1.13058,1.22881,0.0017822,0.0017822,0.0017822
57,81.3901,1.37301,1.1641,1.31788,0.75838,0.71368,0.805,0.51207,1.051,1.13059,1.19364,0.00177824,0.00177824,0.00177824
58,82.756,1.31758,1.11848,1.27854,0.74858,0.65784,0.74691,0.49729,0.98408,1.16642,1.21135,0.00177428,0.00177428,0.00177428
59,84.1013,1.32293,1.08221,1.25155,0.7038,0.6976,0.75872,0.48146,1.07506,1.17776,1.25538,0.00177032,0.00177032,0.00177032
60,85.4472,1.2829,1.05352,1.28676,0.7434,0.72406,0.77881,0.51149,1.07594,1.20651,1.24621,0.00176636,0.00176636,0.00176636
61,86.776,1.25426,1.02324,1.25177,0.73323,0.7351,0.77794,0.51504,1.08895,1.42915,1.26883,0.0017624,0.0017624,0.0017624
62,88.1368,1.3145,1.12991,1.28997,0.75196,0.6893,0.77822,0.51336,1.07764,1.0563,1.23469,0.00175844,0.00175844,0.00175844
63,89.6295,1.25947,1.10542,1.26479,0.79262,0.69186,0.80473,0.5012,1.10284,1.13521,1.27257,0.00175448,0.00175448,0.00175448
64,90.9596,1.33794,1.11482,1.31113,0.74559,0.74834,0.78637,0.50531,1.10295,1.12165,1.23406,0.00175052,0.00175052,0.00175052
65,92.2867,1.30963,1.11119,1.30395,0.75129,0.75351,0.81397,0.52562,1.02179,1.00787,1.20766,0.00174656,0.00174656,0.00174656
66,93.6454,1.28759,1.08336,1.28983,0.84739,0.63739,0.78751,0.51114,1.08717,0.99605,1.24315,0.0017426,0.0017426,0.0017426
67,94.9768,1.28606,1.0375,1.268,0.74859,0.73619,0.80442,0.53588,1.04001,1.13055,1.22885,0.00173864,0.00173864,0.00173864
68,96.323,1.27545,1.02188,1.25001,0.78036,0.72406,0.8114,0.55045,0.97087,0.9209,1.16461,0.00173468,0.00173468,0.00173468
69,97.6935,1.22719,0.98989,1.24912,0.79132,0.69316,0.78077,0.52166,0.96448,0.94499,1.17328,0.00173072,0.00173072,0.00173072
70,99.0296,1.27754,1.01927,1.25388,0.7208,0.74614,0.7775,0.50423,1.0394,1.07923,1.22647,0.00172676,0.00172676,0.00172676
71,100.354,1.2122,0.99462,1.25355,0.74488,0.67677,0.74041,0.48374,1.0643,1.05897,1.20906,0.0017228,0.0017228,0.0017228
72,101.712,1.22371,0.96788,1.22287,0.79118,0.68585,0.78113,0.52571,1.03086,1.01438,1.21896,0.00171884,0.00171884,0.00171884
73,103.031,1.25085,0.99757,1.2406,0.75061,0.7064,0.78789,0.53041,1.05456,0.97426,1.23264,0.00171488,0.00171488,0.00171488
74,104.383,1.24647,1.06949,1.27285,0.7735,0.75385,0.82706,0.55134,0.97309,0.90132,1.18488,0.00171092,0.00171092,0.00171092
75,105.724,1.27046,1.03825,1.26712,0.78191,0.71232,0.78926,0.51642,1.00892,0.9981,1.17796,0.00170696,0.00170696,0.00170696
76,107.051,1.2954,1.06648,1.29273,0.76055,0.68653,0.76724,0.51368,0.98263,1.03832,1.19463,0.001703,0.001703,0.001703
77,108.398,1.22759,1.01193,1.24818,0.75699,0.73579,0.80477,0.50875,1.11478,0.95255,1.24171,0.00169904,0.00169904,0.00169904
78,109.728,1.2107,1.04811,1.2478,0.80585,0.68721,0.80837,0.51208,1.08779,0.98722,1.27479,0.00169508,0.00169508,0.00169508
79,111.072,1.29358,1.0278,1.24757,0.83048,0.73068,0.83219,0.50896,1.10392,0.95033,1.21597,0.00169112,0.00169112,0.00169112
80,112.421,1.23727,1.0342,1.25928,0.79317,0.75345,0.822,0.54037,1.00274,0.9756,1.20454,0.00168716,0.00168716,0.00168716
81,113.901,1.24491,1.01697,1.24916,0.74015,0.74826,0.79176,0.51283,1.06403,0.94757,1.21753,0.0016832,0.0016832,0.0016832
82,115.259,1.19355,0.98403,1.22902,0.75309,0.71082,0.77112,0.50963,1.0523,1.03128,1.23915,0.00167924,0.00167924,0.00167924
83,116.594,1.23298,0.97546,1.25703,0.77527,0.71584,0.79188,0.49871,1.10856,0.93812,1.22745,0.00167528,0.00167528,0.00167528
84,117.935,1.2177,1.03005,1.26329,0.72722,0.7947,0.82214,0.5473,0.9909,0.93682,1.16709,0.00167132,0.00167132,0.00167132
