epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05057,0.99314,0.73253,1.10735,0.84304,0.77925,0.87027,0.62144,0.83303,0.69064,1.11119,0.00028,0.00028,0.00028
2,3.44452,1.01403,0.73964,1.11982,0.85466,0.76591,0.87447,0.6158,0.91487,0.69254,1.15956,0.000578852,0.000578852,0.000578852
3,4.80793,1.0356,0.75459,1.12395,0.78708,0.80574,0.85281,0.60052,0.89724,0.72291,1.13082,0.000876515,0.000876515,0.000876515
4,6.12309,1.06771,0.78184,1.13695,0.79084,0.80129,0.84999,0.59778,0.87681,0.73138,1.12346,0.00117299,0.00117299,0.00117299
5,7.43401,1.11572,0.83564,1.16982,0.82225,0.74834,0.84397,0.57914,0.92274,0.76071,1.14307,0.00146828,0.00146828,0.00146828
6,8.74352,1.09812,0.81078,1.14836,0.77057,0.74884,0.82594,0.56717,0.98975,0.80813,1.17608,0.00176238,0.00176238,0.00176238
7,10.0663,1.11061,0.80166,1.15725,0.85673,0.7524,0.84481,0.56358,0.95472,0.81492,1.17677,0.00197624,0.00197624,0.00197624
8,11.3636,1.13993,0.84064,1.18144,0.81484,0.70919,0.80899,0.53969,0.96736,0.8966,1.18448,0.00197228,0.00197228,0.00197228
9,12.6707,1.12624,0.82211,1.14863,0.73743,0.78587,0.82056,0.55525,0.94678,0.80387,1.17794,0.00196832,0.00196832,0.00196832
10,13.9983,1.16247,0.82346,1.17868,0.79064,0.77483,0.83475,0.54324,0.97662,0.78716,1.1829,0.00196436,0.00196436,0.00196436
11,15.7343,1.13149,0.84097,1.16558,0.79587,0.79249,0.8436,0.55824,0.97083,0.81482,1.19333,0.0019604,0.0019604,0.0019604
12,17.0795,1.05916,0.785,1.12046,0.83923,0.76053,0.83989,0.54462,1.0052,0.79603,1.22163,0.00195644,0.00195644,0.00195644
13,18.4047,1.08024,0.79099,1.14322,0.8172,0.78949,0.8372,0.5526,1.0257,0.86055,1.23682,0.00195248,0.00195248,0.00195248
14,19.8058,1.10104,0.79552,1.14118,0.79298,0.766,0.82751,0.53994,1.01009,0.8091,1.22603,0.00194852,0.00194852,0.00194852
15,21.2046,1.06829,0.83058,1.13888,0.79612,0.74172,0.8041,0.53328,0.98304,0.96623,1.20487,0.00194456,0.00194456,0.00194456
16,22.5826,1.1026,0.80772,1.13593,0.75874,0.75671,0.79816,0.52605,0.95703,0.99583,1.1906,0.0019406,0.0019406,0.0019406
17,23.9081,1.10337,0.80504,1.14394,0.78929,0.7773,0.84099,0.56829,0.97768,0.8109,1.16969,0.00193664,0.00193664,0.00193664
18,25.2272,1.19467,0.87688,1.19232,0.80208,0.7425,0.8179,0.5485,0.98291,0.82242,1.22452,0.00193268,0.00193268,0.00193268
19,26.5344,1.0946,0.86148,1.18187,0.79306,0.78676,0.83873,0.57115,1.00099,0.81626,1.19908,0.00192872,0.00192872,0.00192872
20,27.8495,1.1105,0.86015,1.18365,0.78642,0.71965,0.79592,0.52708,1.0388,0.93477,1.24547,0.00192476,0.00192476,0.00192476
21,29.1404,1.0945,0.81016,1.16198,0.80126,0.74172,0.81005,0.54249,1.00555,0.91312,1.22739,0.0019208,0.0019208,0.0019208
22,30.4663,1.12566,0.84865,1.18512,0.79747,0.70199,0.79671,0.52597,1.02578,1.02292,1.23342,0.00191684,0.00191684,0.00191684
23,31.7679,1.08912,0.82115,1.18329,0.79874,0.68433,0.79388,0.52819,1.03098,1.0665,1.2205,0.00191288,0.00191288,0.00191288
24,33.088,1.09163,0.80081,1.15883,0.77622,0.78105,0.83536,0.56024,0.94915,0.85263,1.18471,0.00190892,0.00190892,0.00190892
25,34.3919,1.08985,0.81286,1.17067,0.78165,0.78808,0.84684,0.56667,1.01964,0.85398,1.23014,0.00190496,0.00190496,0.00190496
26,35.7167,1.05714,0.79898,1.13602,0.75164,0.81015,0.84396,0.56275,1.06074,0.83443,1.20301,0.001901,0.001901,0.001901
27,37.1891,1.10696,0.80977,1.14426,0.75738,0.79935,0.82556,0.55816,0.99017,0.82934,1.23842,0.00189704,0.00189704,0.00189704
28,38.4901,1.10784,0.81419,1.1529,0.73126,0.79691,0.82529,0.55683,0.96208,0.81985,1.22587,0.00189308,0.00189308,0.00189308
29,39.7872,1.09747,0.86865,1.1709,0.8018,0.75012,0.83801,0.55418,0.96124,0.89491,1.20724,0.00188912,0.00188912,0.00188912
30,41.0981,1.12048,0.85477,1.19685,0.82047,0.73731,0.82031,0.54826,0.95946,0.77627,1.20409,0.00188516,0.00188516,0.00188516
31,42.4036,1.14479,0.83084,1.18978,0.8466,0.67008,0.80556,0.52849,1.01912,0.81561,1.2427,0.0018812,0.0018812,0.0018812
32,43.7226,1.09153,0.81518,1.15554,0.79206,0.74838,0.82576,0.54583,1.04243,0.88205,1.23219,0.00187724,0.00187724,0.00187724
33,45.0097,1.08069,0.77988,1.13712,0.79118,0.81015,0.86701,0.57923,0.9776,0.78464,1.19971,0.00187328,0.00187328,0.00187328
