epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71804,1.25267,1.34978,1.26373,0.77954,0.68212,0.75884,0.48444,1.04477,1.2513,1.21811,0.00028,0.00028,0.00028
2,4.13329,1.18841,1.27364,1.22098,0.69356,0.52759,0.6019,0.34857,1.17292,1.67531,1.27373,0.00052258,0.00052258,0.00052258
3,5.49142,1.19823,1.23366,1.22107,0.70929,0.59823,0.67162,0.40687,1.08347,1.53758,1.25044,0.00070576,0.00070576,0.00070576
4,6.8262,1.21745,1.31039,1.2178,0.63408,0.57395,0.56073,0.29486,1.43136,1.6484,1.45575,0.00082954,0.00082954,0.00082954
5,8.16362,1.28801,1.35182,1.28253,0.69902,0.60486,0.67482,0.39038,1.28707,1.5393,1.32084,0.00089392,0.00089392,0.00089392
6,9.47845,1.29326,1.31196,1.30279,0.56947,0.5585,0.55946,0.33183,1.18675,1.51922,1.27833,0.0008989,0.0008989,0.0008989
7,10.7537,1.22516,1.25661,1.26007,0.73801,0.57833,0.66737,0.41258,1.16635,1.42226,1.25917,0.000812,0.000812,0.000812
8,12.0535,1.22976,1.29127,1.25693,0.76403,0.71477,0.77061,0.48583,1.08471,1.18126,1.23209,0.000614,0.000614,0.000614
9,13.3533,1.26957,1.26235,1.27077,0.76589,0.67162,0.73952,0.4469,1.12104,1.1869,1.22519,0.000416,0.000416,0.000416
10,15.1421,1.22786,1.22986,1.24938,0.76469,0.67329,0.74759,0.46789,1.06163,1.19569,1.19561,0.000218,0.000218,0.000218
